ItemNo	Clause	Distractor	Grammaticality	Condition	Question	Answer	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	sentence	model	surp	modelname	exp
6	appos	plural	ungram	e.appos.plural.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhoods,	evidently	were	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhoods, evidently were	GPT-J-6B	12.445887565612791	EleutherAI/gpt-j-6b	exp1
6	appos	singular	ungram	e.appos.singular.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhood,	evidently	were	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhood, evidently were	GPT-J-6B	13.590423583984377	EleutherAI/gpt-j-6b	exp1
6	restr	plural	gram	e.restr.plural.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhoods	evidently	was	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhoods evidently was	GPT-J-6B	4.114056587219238	EleutherAI/gpt-j-6b	exp1
6	restr	singular	gram	e.restr.singular.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhood	evidently	was	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhood evidently was	GPT-J-6B	4.530252933502197	EleutherAI/gpt-j-6b	exp1
6	restr	plural	ungram	e.restr.plural.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhoods	evidently	were	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhoods evidently were	GPT-J-6B	12.150318145751951	EleutherAI/gpt-j-6b	exp1
6	restr	singular	ungram	e.restr.singular.ungram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman	who	patrolled	through	the_neighborhood	evidently	were	mentioned	in	the	newspaper.			The policeman who patrolled through the neighborhood evidently were	GPT-J-6B	13.569639205932615	EleutherAI/gpt-j-6b	exp1
7	appos	plural	gram	e.appos.plural.gram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_cans,	evidently	was	seen	on	the	side	of	the_road.	The goat, which ate from the cans, evidently was	GPT-J-6B	4.237338542938232	EleutherAI/gpt-j-6b	exp1
7	appos	singular	gram	e.appos.singular.gram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_can,	evidently	was	seen	on	the	side	of	the_road.	The goat, which ate from the can, evidently was	GPT-J-6B	4.280719757080078	EleutherAI/gpt-j-6b	exp1
7	appos	plural	ungram	e.appos.plural.ungram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_cans,	evidently	were	seen	on	the	side	of	the_road.	The goat, which ate from the cans, evidently were	GPT-J-6B	12.048179626464844	EleutherAI/gpt-j-6b	exp1
7	appos	singular	ungram	e.appos.singular.ungram	Was the goat seen on the side of the road?	yes	The_goat,	which	ate	from	the_can,	evidently	were	seen	on	the	side	of	the_road.	The goat, which ate from the can, evidently were	GPT-J-6B	12.857992172241213	EleutherAI/gpt-j-6b	exp1
7	restr	plural	gram	e.restr.plural.gram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_cans	evidently	was	seen	on	the	side	of	the_road.	The goat which ate from the cans evidently was	GPT-J-6B	3.563829183578491	EleutherAI/gpt-j-6b	exp1
7	restr	singular	gram	e.restr.singular.gram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_can	evidently	was	seen	on	the	side	of	the_road.	The goat which ate from the can evidently was	GPT-J-6B	3.8392457962036137	EleutherAI/gpt-j-6b	exp1
7	restr	plural	ungram	e.restr.plural.ungram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_cans	evidently	were	seen	on	the	side	of	the_road.	The goat which ate from the cans evidently were	GPT-J-6B	10.720949172973633	EleutherAI/gpt-j-6b	exp1
7	restr	singular	ungram	e.restr.singular.ungram	Was the goat seen on the side of the road?	yes	The_goat	which	ate	from	the_can	evidently	were	seen	on	the	side	of	the_road.	The goat which ate from the can evidently were	GPT-J-6B	11.548646926879885	EleutherAI/gpt-j-6b	exp1
8	appos	plural	gram	e.appos.plural.gram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiments,	suddenly	was	scared	about	all	the_consequences.			The scientist, who prepared for the experiments, suddenly was	GPT-J-6B	7.99834394454956	EleutherAI/gpt-j-6b	exp1
8	appos	singular	gram	e.appos.singular.gram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiment,	suddenly	was	scared	about	all	the_consequences.			The scientist, who prepared for the experiment, suddenly was	GPT-J-6B	8.184900283813477	EleutherAI/gpt-j-6b	exp1
8	appos	plural	ungram	e.appos.plural.ungram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiments,	suddenly	were	scared	about	all	the_consequences.			The scientist, who prepared for the experiments, suddenly were	GPT-J-6B	15.307622909545898	EleutherAI/gpt-j-6b	exp1
8	appos	singular	ungram	e.appos.singular.ungram	Was the scientist unafraid of the consequences?	no	The_scientist,	who	prepared	for	the_experiment,	suddenly	were	scared	about	all	the_consequences.			The scientist, who prepared for the experiment, suddenly were	GPT-J-6B	15.702693939208984	EleutherAI/gpt-j-6b	exp1
8	restr	plural	gram	e.restr.plural.gram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiments	suddenly	was	scared	about	all	the_consequences.			The scientist who prepared for the experiments suddenly was	GPT-J-6B	8.23397445678711	EleutherAI/gpt-j-6b	exp1
8	restr	singular	gram	e.restr.singular.gram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiment	suddenly	was	scared	about	all	the_consequences.			The scientist who prepared for the experiment suddenly was	GPT-J-6B	8.541504859924316	EleutherAI/gpt-j-6b	exp1
8	restr	plural	ungram	e.restr.plural.ungram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiments	suddenly	were	scared	about	all	the_consequences.			The scientist who prepared for the experiments suddenly were	GPT-J-6B	15.103682518005373	EleutherAI/gpt-j-6b	exp1
8	restr	singular	ungram	e.restr.singular.ungram	Was the scientist unafraid of the consequences?	no	The_scientist	who	prepared	for	the_experiment	suddenly	were	scared	about	all	the_consequences.			The scientist who prepared for the experiment suddenly were	GPT-J-6B	15.873326301574709	EleutherAI/gpt-j-6b	exp1
9	appos	plural	gram	e.appos.plural.gram	Was it likely that the student was worried about her grade?	yes	The_student,	who	wrote	to	the_professors,	likely	was	concerned	about	her	low	grade.		The student, who wrote to the professors, likely was	GPT-J-6B	4.412997245788574	EleutherAI/gpt-j-6b	exp1
9	appos	singular	gram	e.appos.singular.gram	Was it likely that the student was worried about her grade?	yes	The_student,	who	wrote	to	the_professor,	likely	was	concerned	about	her	low	grade.		The student, who wrote to the professor, likely was	GPT-J-6B	4.614495754241943	EleutherAI/gpt-j-6b	exp1
9	appos	plural	ungram	e.appos.plural.ungram	Was it likely that the student was worried about her grade?	yes	The_student,	who	wrote	to	the_professors,	likely	were	concerned	about	her	low	grade.		The student, who wrote to the professors, likely were	GPT-J-6B	12.291464805603027	EleutherAI/gpt-j-6b	exp1
9	appos	singular	ungram	e.appos.singular.ungram	Was it likely that the student was worried about her grade?	yes	The_student,	who	wrote	to	the_professor,	likely	were	concerned	about	her	low	grade.		The student, who wrote to the professor, likely were	GPT-J-6B	13.10159969329834	EleutherAI/gpt-j-6b	exp1
9	restr	plural	gram	e.restr.plural.gram	Was it likely that the student was worried about her grade?	yes	The_student	who	wrote	to	the_professors	likely	was	concerned	about	her	low	grade.		The student who wrote to the professors likely was	GPT-J-6B	4.902045726776123	EleutherAI/gpt-j-6b	exp1
9	restr	singular	gram	e.restr.singular.gram	Was it likely that the student was worried about her grade?	yes	The_student	who	wrote	to	the_professor	likely	was	concerned	about	her	low	grade.		The student who wrote to the professor likely was	GPT-J-6B	5.1662492752075195	EleutherAI/gpt-j-6b	exp1
9	restr	plural	ungram	e.restr.plural.ungram	Was it likely that the student was worried about her grade?	yes	The_student	who	wrote	to	the_professors	likely	were	concerned	about	her	low	grade.		The student who wrote to the professors likely were	GPT-J-6B	12.397296905517578	EleutherAI/gpt-j-6b	exp1
9	restr	singular	ungram	e.restr.singular.ungram	Was it likely that the student was worried about her grade?	yes	The_student	who	wrote	to	the_professor	likely	were	concerned	about	her	low	grade.		The student who wrote to the professor likely were	GPT-J-6B	14.442326545715332	EleutherAI/gpt-j-6b	exp1
10	appos	plural	gram	e.appos.plural.gram	Was it the journalist who investigated something?	no	The_journalist,	who	read	about	the_reports,	apparently	was	investigated	for	fraudulent	investigative	journalism.		The journalist, who read about the reports, apparently was	GPT-J-6B	5.424265384674072	EleutherAI/gpt-j-6b	exp1
10	appos	singular	gram	e.appos.singular.gram	Was it the journalist who investigated something?	no	The_journalist,	who	read	about	the_report,	apparently	was	investigated	for	fraudulent	investigative	journalism.		The journalist, who read about the report, apparently was	GPT-J-6B	5.536186695098877	EleutherAI/gpt-j-6b	exp1
10	appos	plural	ungram	e.appos.plural.ungram	Was it the journalist who investigated something?	no	The_journalist,	who	read	about	the_reports,	apparently	were	investigated	for	fraudulent	investigative	journalism.		The journalist, who read about the reports, apparently were	GPT-J-6B	13.308368682861328	EleutherAI/gpt-j-6b	exp1
10	appos	singular	ungram	e.appos.singular.ungram	Was it the journalist who investigated something?	no	The_journalist,	who	read	about	the_report,	apparently	were	investigated	for	fraudulent	investigative	journalism.		The journalist, who read about the report, apparently were	GPT-J-6B	14.49104118347168	EleutherAI/gpt-j-6b	exp1
10	restr	plural	gram	e.restr.plural.gram	Was it the journalist who investigated something?	no	The_journalist	who	read	about	the_reports	apparently	was	investigated	for	fraudulent	investigative	journalism.		The journalist who read about the reports apparently was	GPT-J-6B	5.396781921386719	EleutherAI/gpt-j-6b	exp1
10	restr	singular	gram	e.restr.singular.gram	Was it the journalist who investigated something?	no	The_journalist	who	read	about	the_report	apparently	was	investigated	for	fraudulent	investigative	journalism.		The journalist who read about the report apparently was	GPT-J-6B	5.400470733642578	EleutherAI/gpt-j-6b	exp1
10	restr	plural	ungram	e.restr.plural.ungram	Was it the journalist who investigated something?	no	The_journalist	who	read	about	the_reports	apparently	were	investigated	for	fraudulent	investigative	journalism.		The journalist who read about the reports apparently were	GPT-J-6B	12.565173149108888	EleutherAI/gpt-j-6b	exp1
10	restr	singular	ungram	e.restr.singular.ungram	Was it the journalist who investigated something?	no	The_journalist	who	read	about	the_report	apparently	were	investigated	for	fraudulent	investigative	journalism.		The journalist who read about the report apparently were	GPT-J-6B	14.220070838928224	EleutherAI/gpt-j-6b	exp1
11	appos	plural	gram	e.appos.plural.gram	Was the boy excited about being bitten?	no	The_boy,	who	walked	toward	the_dogs,	probably	was	scared	about	being	bitten.			The boy, who walked toward the dogs, probably was	GPT-J-6B	5.374913215637207	EleutherAI/gpt-j-6b	exp1
11	appos	singular	gram	e.appos.singular.gram	Was the boy excited about being bitten?	no	The_boy,	who	walked	toward	the_dog,	probably	was	scared	about	being	bitten.			The boy, who walked toward the dog, probably was	GPT-J-6B	5.335920810699463	EleutherAI/gpt-j-6b	exp1
11	appos	plural	ungram	e.appos.plural.ungram	Was the boy excited about being bitten?	no	The_boy,	who	walked	toward	the_dogs,	probably	were	scared	about	being	bitten.			The boy, who walked toward the dogs, probably were	GPT-J-6B	15.253993034362791	EleutherAI/gpt-j-6b	exp1
11	appos	singular	ungram	e.appos.singular.ungram	Was the boy excited about being bitten?	no	The_boy,	who	walked	toward	the_dog,	probably	were	scared	about	being	bitten.			The boy, who walked toward the dog, probably were	GPT-J-6B	16.308292388916016	EleutherAI/gpt-j-6b	exp1
11	restr	plural	gram	e.restr.plural.gram	Was the boy excited about being bitten?	no	The_boy	who	walked	toward	the_dogs	probably	was	scared	about	being	bitten.			The boy who walked toward the dogs probably was	GPT-J-6B	5.899674892425537	EleutherAI/gpt-j-6b	exp1
11	restr	singular	gram	e.restr.singular.gram	Was the boy excited about being bitten?	no	The_boy	who	walked	toward	the_dog	probably	was	scared	about	being	bitten.			The boy who walked toward the dog probably was	GPT-J-6B	5.9805755615234375	EleutherAI/gpt-j-6b	exp1
11	restr	plural	ungram	e.restr.plural.ungram	Was the boy excited about being bitten?	no	The_boy	who	walked	toward	the_dogs	probably	were	scared	about	being	bitten.			The boy who walked toward the dogs probably were	GPT-J-6B	16.787513732910156	EleutherAI/gpt-j-6b	exp1
11	restr	singular	ungram	e.restr.singular.ungram	Was the boy excited about being bitten?	no	The_boy	who	walked	toward	the_dog	probably	were	scared	about	being	bitten.			The boy who walked toward the dog probably were	GPT-J-6B	16.69934844970703	EleutherAI/gpt-j-6b	exp1
12	appos	plural	gram	e.appos.plural.gram	Was the woman happy about the road trip?	yes	The_woman,	who	walked	by	the_dogs,	clearly	was	happy	about	the	cross-country	road_trip.		The woman, who walked by the dogs, clearly was	GPT-J-6B	4.091619491577148	EleutherAI/gpt-j-6b	exp1
12	appos	singular	gram	e.appos.singular.gram	Was the woman happy about the road trip?	yes	The_woman,	who	walked	by	the_dog,	clearly	was	happy	about	the	cross-country	road_trip.		The woman, who walked by the dog, clearly was	GPT-J-6B	4.359521389007568	EleutherAI/gpt-j-6b	exp1
12	appos	plural	ungram	e.appos.plural.ungram	Was the woman happy about the road trip?	yes	The_woman,	who	walked	by	the_dogs,	clearly	were	happy	about	the	cross-country	road_trip.		The woman, who walked by the dogs, clearly were	GPT-J-6B	14.049596786499023	EleutherAI/gpt-j-6b	exp1
12	appos	singular	ungram	e.appos.singular.ungram	Was the woman happy about the road trip?	yes	The_woman,	who	walked	by	the_dog,	clearly	were	happy	about	the	cross-country	road_trip.		The woman, who walked by the dog, clearly were	GPT-J-6B	15.286808967590332	EleutherAI/gpt-j-6b	exp1
12	restr	plural	gram	e.restr.plural.gram	Was the woman happy about the road trip?	yes	The_woman	who	walked	by	the_dogs	clearly	was	happy	about	the	cross-country	road_trip.		The woman who walked by the dogs clearly was	GPT-J-6B	4.773739814758301	EleutherAI/gpt-j-6b	exp1
12	restr	singular	gram	e.restr.singular.gram	Was the woman happy about the road trip?	yes	The_woman	who	walked	by	the_dog	clearly	was	happy	about	the	cross-country	road_trip.		The woman who walked by the dog clearly was	GPT-J-6B	5.009546756744385	EleutherAI/gpt-j-6b	exp1
12	restr	plural	ungram	e.restr.plural.ungram	Was the woman happy about the road trip?	yes	The_woman	who	walked	by	the_dogs	clearly	were	happy	about	the	cross-country	road_trip.		The woman who walked by the dogs clearly were	GPT-J-6B	13.198853492736816	EleutherAI/gpt-j-6b	exp1
12	restr	singular	ungram	e.restr.singular.ungram	Was the woman happy about the road trip?	yes	The_woman	who	walked	by	the_dog	clearly	were	happy	about	the	cross-country	road_trip.		The woman who walked by the dog clearly were	GPT-J-6B	14.67447566986084	EleutherAI/gpt-j-6b	exp1
13	appos	plural	gram	e.appos.plural.gram	Was the nurse excited about the good news?	yes	The_nurse,	who	called	for	the_doctors,	unsurprisingly	was	excited	about	the	good	news.		The nurse, who called for the doctors, unsurprisingly was	GPT-J-6B	5.069599628448486	EleutherAI/gpt-j-6b	exp1
13	appos	singular	gram	e.appos.singular.gram	Was the nurse excited about the good news?	yes	The_nurse,	who	called	for	the_doctor,	unsurprisingly	was	excited	about	the	good	news.		The nurse, who called for the doctor, unsurprisingly was	GPT-J-6B	5.0934576988220215	EleutherAI/gpt-j-6b	exp1
13	appos	plural	ungram	e.appos.plural.ungram	Was the nurse excited about the good news?	yes	The_nurse,	who	called	for	the_doctors,	unsurprisingly	were	excited	about	the	good	news.		The nurse, who called for the doctors, unsurprisingly were	GPT-J-6B	12.339430809020996	EleutherAI/gpt-j-6b	exp1
13	appos	singular	ungram	e.appos.singular.ungram	Was the nurse excited about the good news?	yes	The_nurse,	who	called	for	the_doctor,	unsurprisingly	were	excited	about	the	good	news.		The nurse, who called for the doctor, unsurprisingly were	GPT-J-6B	15.316304206848145	EleutherAI/gpt-j-6b	exp1
