ItemNo	Clause	Distractor	Grammaticality	Condition	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	sentence	model	modelname	surp	exp
2	appos	plural	ungram	e.appos.plural.ungram	Matt	hated	the	industrialists,	who	the	activist	criticize	harshly	all	the	time.						Matt hated the industrialists, who the activist criticize	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.635099411010742	exp3
2	appos	singular	ungram	e.appos.singular.ungram	Matt	hated	the	industrialist,	who	the	activist	criticize	harshly	all	the	time.						Matt hated the industrialist, who the activist criticize	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.87575626373291	exp3
3	restr	plural	gram	e.restr.plural.gram	Josh	consulted	the	players	who	the	coach	likes	the	best	on	his	team.					Josh consulted the players who the coach likes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.484063744544985	exp3
3	restr	singular	gram	e.restr.singular.gram	Josh	consulted	the	player	who	the	coach	likes	the	best	on	his	team.					Josh consulted the player who the coach likes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.37573703378439	exp3
3	restr	plural	ungram	e.restr.plural.ungram	Josh	consulted	the	players	who	the	coach	like	the	best	on	his	team.					Josh consulted the players who the coach like	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.366621017456056	exp3
3	restr	singular	ungram	e.restr.singular.ungram	Josh	consulted	the	player	who	the	coach	like	the	best	on	his	team.					Josh consulted the player who the coach like	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.26927089691162	exp3
3	appos	plural	gram	e.appos.plural.gram	Josh	consulted	the	players,	who	the	coach	likes	the	best	on	his	team.					Josh consulted the players, who the coach likes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.34049091488123	exp3
3	appos	singular	gram	e.appos.singular.gram	Josh	consulted	the	player,	who	the	coach	likes	the	best	on	his	team.					Josh consulted the player, who the coach likes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.95119972154498	exp3
3	appos	plural	ungram	e.appos.plural.ungram	Josh	consulted	the	players,	who	the	coach	like	the	best	on	his	team.					Josh consulted the players, who the coach like	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.277390480041504	exp3
3	appos	singular	ungram	e.appos.singular.ungram	Josh	consulted	the	player,	who	the	coach	like	the	best	on	his	team.					Josh consulted the player, who the coach like	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.904138565063477	exp3
4	restr	plural	gram	e.restr.plural.gram	Dan	supported	the	volunteers	who	the	director	relies	on	completely	without	a	second	thought.				Dan supported the volunteers who the director relies	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.463695287704468	exp3
4	restr	singular	gram	e.restr.singular.gram	Dan	supported	the	volunteer	who	the	director	relies	on	completely	without	a	second	thought.				Dan supported the volunteer who the director relies	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.65142512321472	exp3
4	restr	plural	ungram	e.restr.plural.ungram	Dan	supported	the	volunteers	who	the	director	rely	on	completely	without	a	second	thought.				Dan supported the volunteers who the director rely	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	18.2380108833313	exp3
4	restr	singular	ungram	e.restr.singular.ungram	Dan	supported	the	volunteer	who	the	director	rely	on	completely	without	a	second	thought.				Dan supported the volunteer who the director rely	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	18.378997802734375	exp3
4	appos	plural	gram	e.appos.plural.gram	Dan	supported	the	volunteers,	who	the	director	relies	on	completely	without	a	second	thought.				Dan supported the volunteers, who the director relies	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.228183388710022	exp3
4	appos	singular	gram	e.appos.singular.gram	Dan	supported	the	volunteer,	who	the	director	relies	on	completely	without	a	second	thought.				Dan supported the volunteer, who the director relies	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.468416213989258	exp3
4	appos	plural	ungram	e.appos.plural.ungram	Dan	supported	the	volunteers,	who	the	director	rely	on	completely	without	a	second	thought.				Dan supported the volunteers, who the director rely	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	17.110750675201416	exp3
4	appos	singular	ungram	e.appos.singular.ungram	Dan	supported	the	volunteer,	who	the	director	rely	on	completely	without	a	second	thought.				Dan supported the volunteer, who the director rely	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	17.55727481842041	exp3
5	restr	plural	gram	e.restr.plural.gram	David	interviewed	the	authors	who	the	librarian	recommends	for	summer	reading	assignments.						David interviewed the authors who the librarian recommends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.119513392448424	exp3
5	restr	singular	gram	e.restr.singular.gram	David	interviewed	the	author	who	the	librarian	recommends	for	summer	reading	assignments.						David interviewed the author who the librarian recommends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.075047541409733	exp3
5	restr	plural	ungram	e.restr.plural.ungram	David	interviewed	the	authors	who	the	librarian	recommend	for	summer	reading	assignments.						David interviewed the authors who the librarian recommend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.639784812927246	exp3
5	restr	singular	ungram	e.restr.singular.ungram	David	interviewed	the	author	who	the	librarian	recommend	for	summer	reading	assignments.						David interviewed the author who the librarian recommend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.026541709899902	exp3
5	appos	plural	gram	e.appos.plural.gram	David	interviewed	the	authors,	who	the	librarian	recommends	for	summer	reading	assignments.						David interviewed the authors, who the librarian recommends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.362183555960655	exp3
5	appos	singular	gram	e.appos.singular.gram	David	interviewed	the	author,	who	the	librarian	recommends	for	summer	reading	assignments.						David interviewed the author, who the librarian recommends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.849193861708043	exp3
5	appos	plural	ungram	e.appos.plural.ungram	David	interviewed	the	authors,	who	the	librarian	recommend	for	summer	reading	assignments.						David interviewed the authors, who the librarian recommend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.250231742858888	exp3
5	appos	singular	ungram	e.appos.singular.ungram	David	interviewed	the	author,	who	the	librarian	recommend	for	summer	reading	assignments.						David interviewed the author, who the librarian recommend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.83258056640625	exp3
6	restr	plural	gram	e.restr.plural.gram	Andrew	interrogated	the	pilots	who	the	smuggler	employs	in	Brazil	for	his	business.					Andrew interrogated the pilots who the smuggler employs	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.24063578248024	exp3
6	restr	singular	gram	e.restr.singular.gram	Andrew	interrogated	the	pilot	who	the	smuggler	employs	in	Brazil	for	his	business.					Andrew interrogated the pilot who the smuggler employs	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.105107571929691	exp3
6	restr	plural	ungram	e.restr.plural.ungram	Andrew	interrogated	the	pilots	who	the	smuggler	employ	in	Brazil	for	his	business.					Andrew interrogated the pilots who the smuggler employ	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.983939170837402	exp3
6	restr	singular	ungram	e.restr.singular.ungram	Andrew	interrogated	the	pilot	who	the	smuggler	employ	in	Brazil	for	his	business.					Andrew interrogated the pilot who the smuggler employ	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.060298919677734	exp3
6	appos	plural	gram	e.appos.plural.gram	Andrew	interrogated	the	pilots,	who	the	smuggler	employs	in	Brazil	for	his	business.					Andrew interrogated the pilots, who the smuggler employs	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.66133064776659	exp3
6	appos	singular	gram	e.appos.singular.gram	Andrew	interrogated	the	pilot,	who	the	smuggler	employs	in	Brazil	for	his	business.					Andrew interrogated the pilot, who the smuggler employs	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.539760686457155	exp3
6	appos	plural	ungram	e.appos.plural.ungram	Andrew	interrogated	the	pilots,	who	the	smuggler	employ	in	Brazil	for	his	business.					Andrew interrogated the pilots, who the smuggler employ	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.58192253112793	exp3
6	appos	singular	ungram	e.appos.singular.ungram	Andrew	interrogated	the	pilot,	who	the	smuggler	employ	in	Brazil	for	his	business.					Andrew interrogated the pilot, who the smuggler employ	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.519009590148926	exp3
7	restr	plural	gram	e.restr.plural.gram	James	accompanied	the	colleagues	who	the	researcher	spends	the	most	time	with.						James accompanied the colleagues who the researcher spends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.422385692596436	exp3
7	restr	singular	gram	e.restr.singular.gram	James	accompanied	the	colleague	who	the	researcher	spends	the	most	time	with.						James accompanied the colleague who the researcher spends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.7061625123024	exp3
7	restr	plural	ungram	e.restr.plural.ungram	James	accompanied	the	colleagues	who	the	researcher	spend	the	most	time	with.						James accompanied the colleagues who the researcher spend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.378803253173828	exp3
7	restr	singular	ungram	e.restr.singular.ungram	James	accompanied	the	colleague	who	the	researcher	spend	the	most	time	with.						James accompanied the colleague who the researcher spend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.4476318359375	exp3
7	appos	plural	gram	e.appos.plural.gram	James	accompanied	the	colleagues,	who	the	researcher	spends	the	most	time	with.						James accompanied the colleagues, who the researcher spends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.187450230121613	exp3
7	appos	singular	gram	e.appos.singular.gram	James	accompanied	the	colleague,	who	the	researcher	spends	the	most	time	with.						James accompanied the colleague, who the researcher spends	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.608148276805878	exp3
7	appos	plural	ungram	e.appos.plural.ungram	James	accompanied	the	colleagues,	who	the	researcher	spend	the	most	time	with.						James accompanied the colleagues, who the researcher spend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.69802474975586	exp3
7	appos	singular	ungram	e.appos.singular.ungram	James	accompanied	the	colleague,	who	the	researcher	spend	the	most	time	with.						James accompanied the colleague, who the researcher spend	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.460125923156738	exp3
8	restr	plural	gram	e.restr.plural.gram	Justin	examined	the	patients	who	the	doctor	checks	on	daily	in	the	morning.					Justin examined the patients who the doctor checks	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.223100662231444	exp3
8	restr	singular	gram	e.restr.singular.gram	Justin	examined	the	patient	who	the	doctor	checks	on	daily	in	the	morning.					Justin examined the patient who the doctor checks	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.806154251098633	exp3
8	restr	plural	ungram	e.restr.plural.ungram	Justin	examined	the	patients	who	the	doctor	check	on	daily	in	the	morning.					Justin examined the patients who the doctor check	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.83367919921875	exp3
8	restr	singular	ungram	e.restr.singular.ungram	Justin	examined	the	patient	who	the	doctor	check	on	daily	in	the	morning.					Justin examined the patient who the doctor check	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.115827560424805	exp3
8	appos	plural	gram	e.appos.plural.gram	Justin	examined	the	patients,	who	the	doctor	checks	on	daily	in	the	morning.					Justin examined the patients, who the doctor checks	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.810359001159668	exp3
8	appos	singular	gram	e.appos.singular.gram	Justin	examined	the	patient,	who	the	doctor	checks	on	daily	in	the	morning.					Justin examined the patient, who the doctor checks	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.376646041870115	exp3
8	appos	plural	ungram	e.appos.plural.ungram	Justin	examined	the	patients,	who	the	doctor	check	on	daily	in	the	morning.					Justin examined the patients, who the doctor check	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.69164276123047	exp3
8	appos	singular	ungram	e.appos.singular.ungram	Justin	examined	the	patient,	who	the	doctor	check	on	daily	in	the	morning.					Justin examined the patient, who the doctor check	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.311628341674805	exp3
9	restr	plural	gram	e.restr.plural.gram	Joe	vetted	the	Marines	who	the	officer	wants	to	promote	to 	staff	sergeant.					Joe vetted the Marines who the officer wants	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.959707260131836	exp3
9	restr	singular	gram	e.restr.singular.gram	Joe	vetted	the	Marine	who	the	officer	wants	to	promote	to 	staff	sergeant.					Joe vetted the Marine who the officer wants	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.699102401733398	exp3
9	restr	plural	ungram	e.restr.plural.ungram	Joe	vetted	the	Marines	who	the	officer	want	to	promote	to 	staff	sergeant.					Joe vetted the Marines who the officer want	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.41695499420166	exp3
9	restr	singular	ungram	e.restr.singular.ungram	Joe	vetted	the	Marine	who	the	officer	want	to	promote	to 	staff	sergeant.					Joe vetted the Marine who the officer want	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.288444519042969	exp3
9	appos	plural	gram	e.appos.plural.gram	Joe	vetted	the	Marines,	who	the	officer	wants	to	promote	to 	staff	sergeant.					Joe vetted the Marines, who the officer wants	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.528151512145996	exp3
9	appos	singular	gram	e.appos.singular.gram	Joe	vetted	the	Marine,	who	the	officer	wants	to	promote	to 	staff	sergeant.					Joe vetted the Marine, who the officer wants	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.457632064819336	exp3
9	appos	plural	ungram	e.appos.plural.ungram	Joe	vetted	the	Marines,	who	the	officer	want	to	promote	to 	staff	sergeant.					Joe vetted the Marines, who the officer want	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.639870643615724	exp3
9	appos	singular	ungram	e.appos.singular.ungram	Joe	vetted	the	Marine,	who	the	officer	want	to	promote	to 	staff	sergeant.					Joe vetted the Marine, who the officer want	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.681721687316896	exp3
10	restr	plural	gram	e.restr.plural.gram	Ryan	endorsed	the	sculptors	who	the	donor	supports	so	generously	with	annual	donations.					Ryan endorsed the sculptors who the donor supports	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	6.906170845031738	exp3
10	restr	singular	gram	e.restr.singular.gram	Ryan	endorsed	the	sculptor	who	the	donor	supports	so	generously	with	annual	donations.					Ryan endorsed the sculptor who the donor supports	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	7.838694095611572	exp3
10	restr	plural	ungram	e.restr.plural.ungram	Ryan	endorsed	the	sculptors	who	the	donor	support	so	generously	with	annual	donations.					Ryan endorsed the sculptors who the donor support	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	8.732264518737793	exp3
10	restr	singular	ungram	e.restr.singular.ungram	Ryan	endorsed	the	sculptor	who	the	donor	support	so	generously	with	annual	donations.					Ryan endorsed the sculptor who the donor support	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	10.51892375946045	exp3
10	appos	plural	gram	e.appos.plural.gram	Ryan	endorsed	the	sculptors,	who	the	donor	supports	so	generously	with	annual	donations.					Ryan endorsed the sculptors, who the donor supports	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	7.063976764678955	exp3
10	appos	singular	gram	e.appos.singular.gram	Ryan	endorsed	the	sculptor,	who	the	donor	supports	so	generously	with	annual	donations.					Ryan endorsed the sculptor, who the donor supports	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	7.917416572570801	exp3
10	appos	plural	ungram	e.appos.plural.ungram	Ryan	endorsed	the	sculptors,	who	the	donor	support	so	generously	with	annual	donations.					Ryan endorsed the sculptors, who the donor support	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	9.4042387008667	exp3
10	appos	singular	ungram	e.appos.singular.ungram	Ryan	endorsed	the	sculptor,	who	the	donor	support	so	generously	with	annual	donations.					Ryan endorsed the sculptor, who the donor support	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.031458854675291	exp3
11	restr	plural	gram	e.restr.plural.gram	John	met	the	caterers	who	the	hostess	suggests	to	her	friends	at	work.					John met the caterers who the hostess suggests	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.513836860656738	exp3
11	restr	singular	gram	e.restr.singular.gram	John	met	the	caterer	who	the	hostess	suggests	to	her	friends	at	work.					John met the caterer who the hostess suggests	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.831357955932615	exp3
11	restr	plural	ungram	e.restr.plural.ungram	John	met	the	caterers	who	the	hostess	suggest	to	her	friends	at	work.					John met the caterers who the hostess suggest	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.336709976196287	exp3
11	restr	singular	ungram	e.restr.singular.ungram	John	met	the	caterer	who	the	hostess	suggest	to	her	friends	at	work.					John met the caterer who the hostess suggest	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.244999885559082	exp3
11	appos	plural	gram	e.appos.plural.gram	John	met	the	caterers,	who	the	hostess	suggests	to	her	friends	at	work.					John met the caterers, who the hostess suggests	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.26923656463623	exp3
11	appos	singular	gram	e.appos.singular.gram	John	met	the	caterer,	who	the	hostess	suggests	to	her	friends	at	work.					John met the caterer, who the hostess suggests	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.393675804138184	exp3
11	appos	plural	ungram	e.appos.plural.ungram	John	met	the	caterers,	who	the	hostess	suggest	to	her	friends	at	work.					John met the caterers, who the hostess suggest	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.536925315856934	exp3
11	appos	singular	ungram	e.appos.singular.ungram	John	met	the	caterer,	who	the	hostess	suggest	to	her	friends	at	work.					John met the caterer, who the hostess suggest	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.422173500061035	exp3
12	restr	plural	gram	e.restr.plural.gram	Rob	escorted	the	senators	who	the	voter	listens	to	patiently	at	local	political	events.				Rob escorted the senators who the voter listens	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	17.39612638950348	exp3
12	restr	singular	gram	e.restr.singular.gram	Rob	escorted	the	senator	who	the	voter	listens	to	patiently	at	local	political	events.				Rob escorted the senator who the voter listens	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.501756727695465	exp3
12	restr	plural	ungram	e.restr.plural.ungram	Rob	escorted	the	senators	who	the	voter	listen	to	patiently	at	local	political	events.				Rob escorted the senators who the voter listen	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.932884216308594	exp3
12	restr	singular	ungram	e.restr.singular.ungram	Rob	escorted	the	senator	who	the	voter	listen	to	patiently	at	local	political	events.				Rob escorted the senator who the voter listen	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.044458389282227	exp3
12	appos	plural	gram	e.appos.plural.gram	Rob	escorted	the	senators,	who	the	voter	listens	to	patiently	at	local	political	events.				Rob escorted the senators, who the voter listens	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.27768224477768	exp3
12	appos	singular	gram	e.appos.singular.gram	Rob	escorted	the	senator,	who	the	voter	listens	to	patiently	at	local	political	events.				Rob escorted the senator, who the voter listens	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.22727021574974	exp3
12	appos	plural	ungram	e.appos.plural.ungram	Rob	escorted	the	senators,	who	the	voter	listen	to	patiently	at	local	political	events.				Rob escorted the senators, who the voter listen	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.732869148254396	exp3
12	appos	singular	ungram	e.appos.singular.ungram	Rob	escorted	the	senator,	who	the	voter	listen	to	patiently	at	local	political	events.				Rob escorted the senator, who the voter listen	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.002202987670898	exp3
13	restr	plural	gram	e.restr.plural.gram	Nick	compensated	the	teenagers	who	the	farmer	hires	to	pick	fruit	every	summer.					Nick compensated the teenagers who the farmer hires	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.837190002202988	exp3
13	restr	singular	gram	e.restr.singular.gram	Nick	compensated	the	teenager	who	the	farmer	hires	to	pick	fruit	every	summer.					Nick compensated the teenager who the farmer hires	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.073851093649864	exp3
13	restr	plural	ungram	e.restr.plural.ungram	Nick	compensated	the	teenagers	who	the	farmer	hire	to	pick	fruit	every	summer.					Nick compensated the teenagers who the farmer hire	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.66495418548584	exp3
13	restr	singular	ungram	e.restr.singular.ungram	Nick	compensated	the	teenager	who	the	farmer	hire	to	pick	fruit	every	summer.					Nick compensated the teenager who the farmer hire	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.953668594360352	exp3
13	appos	plural	gram	e.appos.plural.gram	Nick	compensated	the	teenagers,	who	the	farmer	hires	to	pick	fruit	every	summer.					Nick compensated the teenagers, who the farmer hires	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.86449545249343	exp3
13	appos	singular	gram	e.appos.singular.gram	Nick	compensated	the	teenager,	who	the	farmer	hires	to	pick	fruit	every	summer.					Nick compensated the teenager, who the farmer hires	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.048240337520838	exp3
13	appos	plural	ungram	e.appos.plural.ungram	Nick	compensated	the	teenagers,	who	the	farmer	hire	to	pick	fruit	every	summer.					Nick compensated the teenagers, who the farmer hire	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.80942440032959	exp3
13	appos	singular	ungram	e.appos.singular.ungram	Nick	compensated	the	teenager,	who	the	farmer	hire	to	pick	fruit	every	summer.					Nick compensated the teenager, who the farmer hire	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.012794494628906	exp3
14	restr	plural	gram	e.restr.plural.gram	Will	applauded	the	goalies	who	the	fan	holds	the	greatest	confidence	in.						Will applauded the goalies who the fan holds	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.583619117736816	exp3
14	restr	singular	gram	e.restr.singular.gram	Will	applauded	the	goalie	who	the	fan	holds	the	greatest	confidence	in.						Will applauded the goalie who the fan holds	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.969278335571287	exp3
14	restr	plural	ungram	e.restr.plural.ungram	Will	applauded	the	goalies	who	the	fan	hold	the	greatest	confidence	in.						Will applauded the goalies who the fan hold	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	16.737051010131836	exp3
14	restr	singular	ungram	e.restr.singular.ungram	Will	applauded	the	goalie	who	the	fan	hold	the	greatest	confidence	in.						Will applauded the goalie who the fan hold	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	17.325572967529297	exp3
14	appos	plural	gram	e.appos.plural.gram	Will	applauded	the	goalies,	who	the	fan	holds	the	greatest	confidence	in.						Will applauded the goalies, who the fan holds	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	15.03561782836914	exp3
14	appos	singular	gram	e.appos.singular.gram	Will	applauded	the	goalie,	who	the	fan	holds	the	greatest	confidence	in.						Will applauded the goalie, who the fan holds	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.708145141601562	exp3
14	appos	plural	ungram	e.appos.plural.ungram	Will	applauded	the	goalies,	who	the	fan	hold	the	greatest	confidence	in.						Will applauded the goalies, who the fan hold	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	17.81585693359375	exp3
14	appos	singular	ungram	e.appos.singular.ungram	Will	applauded	the	goalie,	who	the	fan	hold	the	greatest	confidence	in.						Will applauded the goalie, who the fan hold	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	18.213956832885746	exp3
15	restr	plural	gram	e.restr.plural.gram	Kyle	trained	the	quarterbacks	who	the	recruiter	watches	from	the	bleachers	every	weekend.					Kyle trained the quarterbacks who the recruiter watches	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.971630096435549	exp3
15	restr	singular	gram	e.restr.singular.gram	Kyle	trained	the	quarterback	who	the	recruiter	watches	from	the	bleachers	every	weekend.					Kyle trained the quarterback who the recruiter watches	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.374175071716309	exp3
