ItemNo	Clause	Distractor	Grammaticality	Condition	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	sentence	model	surp	modelname	exp
2	appos	singular	ungram	e.appos.singular.ungram	The	industrialist,	who	the	activist	criticize	harshly,	always	puts	profit	above	concern	for	the	environment.						The industrialist, who the activist criticize	DialoGPT-large	16.44615936279297	microsoft/DialoGPT-large	exp2
3	restr	plural	gram	e.restr.plural.gram	The	players	who	the	coach	likes	the	best	are	the	ones	who	always	get	to	practice	on	time.			The players who the coach likes	DialoGPT-large	7.46168327331543	microsoft/DialoGPT-large	exp2
3	restr	singular	gram	e.restr.singular.gram	The	player	who	the	coach	likes	the	best	is	the	one	who	always	gets	to	practice	on	time.			The player who the coach likes	DialoGPT-large	7.086513996124268	microsoft/DialoGPT-large	exp2
3	restr	plural	ungram	e.restr.plural.ungram	The	players	who	the	coach	like	the	best	are	the	ones	who	always	get	to	practice	on	time.			The players who the coach like	DialoGPT-large	9.625786781311035	microsoft/DialoGPT-large	exp2
3	restr	singular	ungram	e.restr.singular.ungram	The	player	who	the	coach	like	the	best	is	the	one	who	always	gets	to	practice	on	time.			The player who the coach like	DialoGPT-large	9.222830772399902	microsoft/DialoGPT-large	exp2
3	appos	plural	gram	e.appos.plural.gram	The	players,	who	the	coach	likes	the	best,	are	the	ones	who	always	get	to	practice	on	time.			The players, who the coach likes	DialoGPT-large	7.330509185791016	microsoft/DialoGPT-large	exp2
3	appos	singular	gram	e.appos.singular.gram	The	player,	who	the	coach	likes	the	best,	is	the	one	who	always	gets	to	practice	on	time.			The player, who the coach likes	DialoGPT-large	7.058477401733398	microsoft/DialoGPT-large	exp2
3	appos	plural	ungram	e.appos.plural.ungram	The	players,	who	the	coach	like	the	best,	are	the	ones	who	always	get	to	practice	on	time.			The players, who the coach like	DialoGPT-large	9.822854042053224	microsoft/DialoGPT-large	exp2
3	appos	singular	ungram	e.appos.singular.ungram	The	player,	who	the	coach	like	the	best,	is	the	one	who	always	gets	to	practice	on	time.			The player, who the coach like	DialoGPT-large	9.492486000061035	microsoft/DialoGPT-large	exp2
4	restr	plural	gram	e.restr.plural.gram	The	volunteers	who	the	director	relies	on	completely	are	dedicated	to	their	work.								The volunteers who the director relies	DialoGPT-large	15.657492637634276	microsoft/DialoGPT-large	exp2
4	restr	singular	gram	e.restr.singular.gram	The	volunteer	who	the	director	relies	on	completely	is	dedicated	to	her	work.								The volunteer who the director relies	DialoGPT-large	15.941132545471191	microsoft/DialoGPT-large	exp2
4	restr	plural	ungram	e.restr.plural.ungram	The	volunteers	who	the	director	rely	on	completely	are	dedicated	to	their	work.								The volunteers who the director rely	DialoGPT-large	18.793960571289062	microsoft/DialoGPT-large	exp2
4	restr	singular	ungram	e.restr.singular.ungram	The	volunteer	who	the	director	rely	on	completely	is	dedicated	to	her	work.								The volunteer who the director rely	DialoGPT-large	19.048234939575195	microsoft/DialoGPT-large	exp2
4	appos	plural	gram	e.appos.plural.gram	The	volunteers,	who	the	director	relies	on,	completely	are	dedicated	to	their	work.								The volunteers, who the director relies	DialoGPT-large	15.36859893798828	microsoft/DialoGPT-large	exp2
4	appos	singular	gram	e.appos.singular.gram	The	volunteer,	who	the	director	relies	on,	completely	is	dedicated	to	her	work.								The volunteer, who the director relies	DialoGPT-large	16.34928321838379	microsoft/DialoGPT-large	exp2
4	appos	plural	ungram	e.appos.plural.ungram	The	volunteers,	who	the	director	rely	on,	completely	are	dedicated	to	their	work.								The volunteers, who the director rely	DialoGPT-large	18.377458572387695	microsoft/DialoGPT-large	exp2
4	appos	singular	ungram	e.appos.singular.ungram	The	volunteer,	who	the	director	rely	on,	completely	is	dedicated	to	her	work.								The volunteer, who the director rely	DialoGPT-large	19.05048370361328	microsoft/DialoGPT-large	exp2
5	restr	plural	gram	e.restr.plural.gram	The	authors	who	the	librarian	recommends	for	summer	reading	are	very	popular	in	India.							The authors who the librarian recommends	DialoGPT-large	13.24030303955078	microsoft/DialoGPT-large	exp2
5	restr	singular	gram	e.restr.singular.gram	The	author	who	the	librarian	recommends	for	summer	reading	is	very	popular	in	India.							The author who the librarian recommends	DialoGPT-large	13.575227737426758	microsoft/DialoGPT-large	exp2
5	restr	plural	ungram	e.restr.plural.ungram	The	authors	who	the	librarian	recommend	for	summer	reading	are	very	popular	in	India.							The authors who the librarian recommend	DialoGPT-large	16.997323989868164	microsoft/DialoGPT-large	exp2
5	restr	singular	ungram	e.restr.singular.ungram	The	author	who	the	librarian	recommend	for	summer	reading	is	very	popular	in	India.							The author who the librarian recommend	DialoGPT-large	17.192787170410156	microsoft/DialoGPT-large	exp2
5	appos	plural	gram	e.appos.plural.gram	The	authors,	who	the	librarian	recommends	for	summer	reading,	are	very	popular	in	India.							The authors, who the librarian recommends	DialoGPT-large	13.666690826416016	microsoft/DialoGPT-large	exp2
5	appos	singular	gram	e.appos.singular.gram	The	author,	who	the	librarian	recommends	for	summer	reading,	is	very	popular	in	India.							The author, who the librarian recommends	DialoGPT-large	14.224456787109377	microsoft/DialoGPT-large	exp2
5	appos	plural	ungram	e.appos.plural.ungram	The	authors,	who	the	librarian	recommend	for	summer	reading,	are	very	popular	in	India.							The authors, who the librarian recommend	DialoGPT-large	17.13816261291504	microsoft/DialoGPT-large	exp2
5	appos	singular	ungram	e.appos.singular.ungram	The	author,	who	the	librarian	recommend	for	summer	reading,	is	very	popular	in	India.							The author, who the librarian recommend	DialoGPT-large	17.496232986450195	microsoft/DialoGPT-large	exp2
6	restr	plural	gram	e.restr.plural.gram	The	pilots	who	the	smuggler	employs	in	Brazil	must	be	discreet	and	good	at	thinking	fast.					The pilots who the smuggler employs	DialoGPT-large	15.394930839538574	microsoft/DialoGPT-large	exp2
6	restr	singular	gram	e.restr.singular.gram	The	pilot	who	the	smuggler	employs	in	Brazil	must	be	discreet	and	good	at	thinking	fast.					The pilot who the smuggler employs	DialoGPT-large	16.0927791595459	microsoft/DialoGPT-large	exp2
6	restr	plural	ungram	e.restr.plural.ungram	The	pilots	who	the	smuggler	employ	in	Brazil	must	be	discreet	and	good	at	thinking	fast.					The pilots who the smuggler employ	DialoGPT-large	17.557140350341797	microsoft/DialoGPT-large	exp2
6	restr	singular	ungram	e.restr.singular.ungram	The	pilot	who	the	smuggler	employ	in	Brazil	must	be	discreet	and	good	at	thinking	fast.					The pilot who the smuggler employ	DialoGPT-large	17.854719161987305	microsoft/DialoGPT-large	exp2
6	appos	plural	gram	e.appos.plural.gram	The	pilots,	who	the	smuggler	employs	in	Brazil,	must	be	discreet	and	good	at	thinking	fast.					The pilots, who the smuggler employs	DialoGPT-large	15.654964447021484	microsoft/DialoGPT-large	exp2
6	appos	singular	gram	e.appos.singular.gram	The	pilot,	who	the	smuggler	employs	in	Brazil,	must	be	discreet	and	good	at	thinking	fast.					The pilot, who the smuggler employs	DialoGPT-large	16.973115921020508	microsoft/DialoGPT-large	exp2
6	appos	plural	ungram	e.appos.plural.ungram	The	pilots,	who	the	smuggler	employ	in	Brazil,	must	be	discreet	and	good	at	thinking	fast.					The pilots, who the smuggler employ	DialoGPT-large	17.74527931213379	microsoft/DialoGPT-large	exp2
6	appos	singular	ungram	e.appos.singular.ungram	The	pilot,	who	the	smuggler	employ	in	Brazil,	must	be	discreet	and	good	at	thinking	fast.					The pilot, who the smuggler employ	DialoGPT-large	18.5489444732666	microsoft/DialoGPT-large	exp2
7	restr	plural	gram	e.restr.plural.gram	The	colleagues	who	the	researcher	spends	the	most	time	with	come	up	with	crazy	but	inventive	ideas.				The colleagues who the researcher spends	DialoGPT-large	13.014216423034668	microsoft/DialoGPT-large	exp2
7	restr	singular	gram	e.restr.singular.gram	The	colleague	who	the	researcher	spends	the	most	time	with	comes	up	with	crazy	but	inventive	ideas.				The colleague who the researcher spends	DialoGPT-large	13.520041465759276	microsoft/DialoGPT-large	exp2
7	restr	plural	ungram	e.restr.plural.ungram	The	colleagues	who	the	researcher	spend	the	most	time	with	come	up	with	crazy	but	inventive	ideas.				The colleagues who the researcher spend	DialoGPT-large	17.149961471557617	microsoft/DialoGPT-large	exp2
7	restr	singular	ungram	e.restr.singular.ungram	The	colleague	who	the	researcher	spend	the	most	time	with	comes	up	with	crazy	but	inventive	ideas.				The colleague who the researcher spend	DialoGPT-large	17.711318969726562	microsoft/DialoGPT-large	exp2
7	appos	plural	gram	e.appos.plural.gram	The	colleagues,	who	the	researcher	spends	the	most	time	with,	come	up	with	crazy	but	inventive	ideas.				The colleagues, who the researcher spends	DialoGPT-large	12.820712089538574	microsoft/DialoGPT-large	exp2
7	appos	singular	gram	e.appos.singular.gram	The	colleague,	who	the	researcher	spends	the	most	time	with,	comes	up	with	crazy	but	inventive	ideas.				The colleague, who the researcher spends	DialoGPT-large	13.81653881072998	microsoft/DialoGPT-large	exp2
7	appos	plural	ungram	e.appos.plural.ungram	The	colleagues,	who	the	researcher	spend	the	most	time	with,	come	up	with	crazy	but	inventive	ideas.				The colleagues, who the researcher spend	DialoGPT-large	16.887727737426758	microsoft/DialoGPT-large	exp2
7	appos	singular	ungram	e.appos.singular.ungram	The	colleague,	who	the	researcher	spend	the	most	time	with,	comes	up	with	crazy	but	inventive	ideas.				The colleague, who the researcher spend	DialoGPT-large	17.731149673461914	microsoft/DialoGPT-large	exp2
8	restr	plural	gram	e.restr.plural.gram	The	patients	who	the	doctor	checks	on	daily	are	undergoing	an	experimental	treatment.								The patients who the doctor checks	DialoGPT-large	11.551424980163574	microsoft/DialoGPT-large	exp2
8	restr	singular	gram	e.restr.singular.gram	The	patient	who	the	doctor	checks	on	daily	is	undergoing	an	experimental	treatment.								The patient who the doctor checks	DialoGPT-large	11.076560020446776	microsoft/DialoGPT-large	exp2
8	restr	plural	ungram	e.restr.plural.ungram	The	patients	who	the	doctor	check	on	daily	are	undergoing	an	experimental	treatment.								The patients who the doctor check	DialoGPT-large	12.503212928771973	microsoft/DialoGPT-large	exp2
8	restr	singular	ungram	e.restr.singular.ungram	The	patient	who	the	doctor	check	on	daily	is	undergoing	an	experimental	treatment.								The patient who the doctor check	DialoGPT-large	11.791728019714355	microsoft/DialoGPT-large	exp2
8	appos	plural	gram	e.appos.plural.gram	The	patients,	who	the	doctor	checks	on	daily,	are	undergoing	an	experimental	treatment.								The patients, who the doctor checks	DialoGPT-large	11.80770778656006	microsoft/DialoGPT-large	exp2
8	appos	singular	gram	e.appos.singular.gram	The	patient,	who	the	doctor	checks	on	daily,	is	undergoing	an	experimental	treatment.								The patient, who the doctor checks	DialoGPT-large	11.620694160461426	microsoft/DialoGPT-large	exp2
8	appos	plural	ungram	e.appos.plural.ungram	The	patients,	who	the	doctor	check	on	daily,	are	undergoing	an	experimental	treatment.								The patients, who the doctor check	DialoGPT-large	12.879666328430176	microsoft/DialoGPT-large	exp2
8	appos	singular	ungram	e.appos.singular.ungram	The	patient,	who	the	doctor	check	on	daily,	is	undergoing	an	experimental	treatment.								The patient, who the doctor check	DialoGPT-large	12.539345741271973	microsoft/DialoGPT-large	exp2
9	restr	plural	gram	e.restr.plural.gram	The	Marines	who	the	officer	wants	to	promote	are	always	ready	to	risk	their	lives	for	someone	in	need.		The Marines who the officer wants	DialoGPT-large	9.8373441696167	microsoft/DialoGPT-large	exp2
9	restr	singular	gram	e.restr.singular.gram	The	Marine	who	the	officer	wants	to	promote	is	always	ready	to	risk	his	life	for	someone	in	need.		The Marine who the officer wants	DialoGPT-large	10.38544750213623	microsoft/DialoGPT-large	exp2
9	restr	plural	ungram	e.restr.plural.ungram	The	Marines	who	the	officer	want	to	promote	are	always	ready	to	risk	their	lives	for	someone	in	need.		The Marines who the officer want	DialoGPT-large	13.699700355529783	microsoft/DialoGPT-large	exp2
9	restr	singular	ungram	e.restr.singular.ungram	The	Marine	who	the	officer	want	to	promote	is	always	ready	to	risk	his	life	for	someone	in	need.		The Marine who the officer want	DialoGPT-large	14.579792976379396	microsoft/DialoGPT-large	exp2
9	appos	plural	gram	e.appos.plural.gram	The	Marines,	who	the	officer	wants	to	promote,	are	always	ready	to	risk	their	lives	for	someone	in	need.		The Marines, who the officer wants	DialoGPT-large	9.774460792541504	microsoft/DialoGPT-large	exp2
9	appos	singular	gram	e.appos.singular.gram	The	Marine,	who	the	officer	wants	to	promote,	is	always	ready	to	risk	his	life	for	someone	in	need.		The Marine, who the officer wants	DialoGPT-large	9.9127197265625	microsoft/DialoGPT-large	exp2
9	appos	plural	ungram	e.appos.plural.ungram	The	Marines,	who	the	officer	want	to	promote,	are	always	ready	to	risk	their	lives	for	someone	in	need.		The Marines, who the officer want	DialoGPT-large	13.93742561340332	microsoft/DialoGPT-large	exp2
9	appos	singular	ungram	e.appos.singular.ungram	The	Marine,	who	the	officer	want	to	promote,	is	always	ready	to	risk	his	life	for	someone	in	need.		The Marine, who the officer want	DialoGPT-large	14.5321683883667	microsoft/DialoGPT-large	exp2
10	restr	plural	gram	e.restr.plural.gram	The	sculptors	who	the	donor	supports	so	generously	have	held	several	acclaimed	exhibitions.								The sculptors who the donor supports	DialoGPT-large	10.180819511413574	microsoft/DialoGPT-large	exp2
10	restr	singular	gram	e.restr.singular.gram	The	sculptor	who	the	donor	supports	so	generously	has	held	several	acclaimed	exhibitions.								The sculptor who the donor supports	DialoGPT-large	11.24946117401123	microsoft/DialoGPT-large	exp2
10	restr	plural	ungram	e.restr.plural.ungram	The	sculptors	who	the	donor	support	so	generously	have	held	several	acclaimed	exhibitions.								The sculptors who the donor support	DialoGPT-large	9.017633438110352	microsoft/DialoGPT-large	exp2
10	restr	singular	ungram	e.restr.singular.ungram	The	sculptor	who	the	donor	support	so	generously	has	held	several	acclaimed	exhibitions.								The sculptor who the donor support	DialoGPT-large	9.56501579284668	microsoft/DialoGPT-large	exp2
10	appos	plural	gram	e.appos.plural.gram	The	sculptors,	who	the	donor	supports	so	generously,	have	held	several	acclaimed	exhibitions.								The sculptors, who the donor supports	DialoGPT-large	9.811620712280272	microsoft/DialoGPT-large	exp2
10	appos	singular	gram	e.appos.singular.gram	The	sculptor,	who	the	donor	supports	so	generously,	has	held	several	acclaimed	exhibitions.								The sculptor, who the donor supports	DialoGPT-large	10.882173538208008	microsoft/DialoGPT-large	exp2
10	appos	plural	ungram	e.appos.plural.ungram	The	sculptors,	who	the	donor	support	so	generously,	have	held	several	acclaimed	exhibitions.								The sculptors, who the donor support	DialoGPT-large	8.105805397033691	microsoft/DialoGPT-large	exp2
10	appos	singular	ungram	e.appos.singular.ungram	The	sculptor,	who	the	donor	support	so	generously,	has	held	several	acclaimed	exhibitions.								The sculptor, who the donor support	DialoGPT-large	8.921042442321777	microsoft/DialoGPT-large	exp2
11	restr	plural	gram	e.restr.plural.gram	The	caterers	who	the	hostess	suggests	to	her	friends	are	excellent	but	outrageously	expensive.							The caterers who the hostess suggests	DialoGPT-large	15.168224334716797	microsoft/DialoGPT-large	exp2
11	restr	singular	gram	e.restr.singular.gram	The	caterer	who	the	hostess	suggests	to	her	friends	is	excellent	but	outrageously	expensive.							The caterer who the hostess suggests	DialoGPT-large	14.373909950256348	microsoft/DialoGPT-large	exp2
11	restr	plural	ungram	e.restr.plural.ungram	The	caterers	who	the	hostess	suggest	to	her	friends	are	excellent	but	outrageously	expensive.							The caterers who the hostess suggest	DialoGPT-large	16.538637161254883	microsoft/DialoGPT-large	exp2
11	restr	singular	ungram	e.restr.singular.ungram	The	caterer	who	the	hostess	suggest	to	her	friends	is	excellent	but	outrageously	expensive.							The caterer who the hostess suggest	DialoGPT-large	16.064517974853516	microsoft/DialoGPT-large	exp2
11	appos	plural	gram	e.appos.plural.gram	The	caterers,	who	the	hostess	suggests	to	her	friends,	are	excellent	but	outrageously	expensive.							The caterers, who the hostess suggests	DialoGPT-large	14.89260959625244	microsoft/DialoGPT-large	exp2
11	appos	singular	gram	e.appos.singular.gram	The	caterer,	who	the	hostess	suggests	to	her	friends,	is	excellent	but	outrageously	expensive.							The caterer, who the hostess suggests	DialoGPT-large	15.339516639709473	microsoft/DialoGPT-large	exp2
11	appos	plural	ungram	e.appos.plural.ungram	The	caterers,	who	the	hostess	suggest	to	her	friends,	are	excellent	but	outrageously	expensive.							The caterers, who the hostess suggest	DialoGPT-large	16.529834747314453	microsoft/DialoGPT-large	exp2
11	appos	singular	ungram	e.appos.singular.ungram	The	caterer,	who	the	hostess	suggest	to	her	friends,	is	excellent	but	outrageously	expensive.							The caterer, who the hostess suggest	DialoGPT-large	16.975746154785156	microsoft/DialoGPT-large	exp2
12	restr	plural	gram	e.restr.plural.gram	The	senators	who	the	voter	listens	to	patiently	at	all	the	local	political	events	just	never	seem	trustworthy.			The senators who the voter listens	DialoGPT-large	15.570491790771484	microsoft/DialoGPT-large	exp2
12	restr	singular	gram	e.restr.singular.gram	The	senator	who	the	voter	listens	to	patiently	at	all	the	local	political	events	just	never	seems	trustworthy.			The senator who the voter listens	DialoGPT-large	15.32002067565918	microsoft/DialoGPT-large	exp2
12	restr	plural	ungram	e.restr.plural.ungram	The	senators	who	the	voter	listen	to	patiently	at	all	the	local	political	events	just	never	seem	trustworthy.			The senators who the voter listen	DialoGPT-large	17.32956886291504	microsoft/DialoGPT-large	exp2
12	restr	singular	ungram	e.restr.singular.ungram	The	senator	who	the	voter	listen	to	patiently	at	all	the	local	political	events	just	never	seems	trustworthy.			The senator who the voter listen	DialoGPT-large	17.512666702270508	microsoft/DialoGPT-large	exp2
12	appos	plural	gram	e.appos.plural.gram	The	senators,	who	the	voter	listens	to	patiently	at	all	the	local	political	events,	just	never	seem	trustworthy.			The senators, who the voter listens	DialoGPT-large	15.154618263244627	microsoft/DialoGPT-large	exp2
12	appos	singular	gram	e.appos.singular.gram	The	senator,	who	the	voter	listens	to	patiently	at	all	the	local	political	events,	just	never	seems	trustworthy.			The senator, who the voter listens	DialoGPT-large	15.61711883544922	microsoft/DialoGPT-large	exp2
12	appos	plural	ungram	e.appos.plural.ungram	The	senators,	who	the	voter	listen	to	patiently	at	all	the	local	political	events,	just	never	seem	trustworthy.			The senators, who the voter listen	DialoGPT-large	17.38515853881836	microsoft/DialoGPT-large	exp2
12	appos	singular	ungram	e.appos.singular.ungram	The	senator,	who	the	voter	listen	to	patiently	at	all	the	local	political	events,	just	never	seems	trustworthy.			The senator, who the voter listen	DialoGPT-large	18.255762100219727	microsoft/DialoGPT-large	exp2
13	restr	plural	gram	e.restr.plural.gram	The	teenagers	who	the	farmer	hires	to	pick	fruit	every	summer	usually	work	pretty	hard.						The teenagers who the farmer hires	DialoGPT-large	12.405265808105469	microsoft/DialoGPT-large	exp2
13	restr	singular	gram	e.restr.singular.gram	The	teenager	who	the	farmer	hires	to	pick	fruit	every	summer	usually	works	pretty	hard.						The teenager who the farmer hires	DialoGPT-large	12.820242881774902	microsoft/DialoGPT-large	exp2
13	restr	plural	ungram	e.restr.plural.ungram	The	teenagers	who	the	farmer	hire	to	pick	fruit	every	summer	usually	work	pretty	hard.						The teenagers who the farmer hire	DialoGPT-large	16.21627426147461	microsoft/DialoGPT-large	exp2
13	restr	singular	ungram	e.restr.singular.ungram	The	teenager	who	the	farmer	hire	to	pick	fruit	every	summer	usually	works	pretty	hard.						The teenager who the farmer hire	DialoGPT-large	16.209638595581055	microsoft/DialoGPT-large	exp2
13	appos	plural	gram	e.appos.plural.gram	The	teenagers,	who	the	farmer	hires	to	pick	fruit	every	summer,	usually	work	pretty	hard.						The teenagers, who the farmer hires	DialoGPT-large	12.406745910644531	microsoft/DialoGPT-large	exp2
13	appos	singular	gram	e.appos.singular.gram	The	teenager,	who	the	farmer	hires	to	pick	fruit	every	summer,	usually	works	pretty	hard.						The teenager, who the farmer hires	DialoGPT-large	13.05103588104248	microsoft/DialoGPT-large	exp2
13	appos	plural	ungram	e.appos.plural.ungram	The	teenagers,	who	the	farmer	hire	to	pick	fruit	every	summer,	usually	work	pretty	hard.						The teenagers, who the farmer hire	DialoGPT-large	15.779316902160645	microsoft/DialoGPT-large	exp2
13	appos	singular	ungram	e.appos.singular.ungram	The	teenager,	who	the	farmer	hire	to	pick	fruit	every	summer,	usually	works	pretty	hard.						The teenager, who the farmer hire	DialoGPT-large	16.0723876953125	microsoft/DialoGPT-large	exp2
14	restr	plural	gram	e.restr.plural.gram	The	goalies	who	the	fan	holds	the	greatest	confidence	in	are	reliably	calm	under	pressure.						The goalies who the fan holds	DialoGPT-large	14.677830696105955	microsoft/DialoGPT-large	exp2
14	restr	singular	gram	e.restr.singular.gram	The	goalie	who	the	fan	holds	the	greatest	confidence	in	is	reliably	calm	under	pressure.						The goalie who the fan holds	DialoGPT-large	13.890342712402344	microsoft/DialoGPT-large	exp2
14	restr	plural	ungram	e.restr.plural.ungram	The	goalies	who	the	fan	hold	the	greatest	confidence	in	are	reliably	calm	under	pressure.						The goalies who the fan hold	DialoGPT-large	17.19234848022461	microsoft/DialoGPT-large	exp2
14	restr	singular	ungram	e.restr.singular.ungram	The	goalie	who	the	fan	hold	the	greatest	confidence	in	is	reliably	calm	under	pressure.						The goalie who the fan hold	DialoGPT-large	17.105554580688477	microsoft/DialoGPT-large	exp2
14	appos	plural	gram	e.appos.plural.gram	The	goalies,	who	the	fan	holds	the	greatest	confidence	in,	are	reliably	calm	under	pressure.						The goalies, who the fan holds	DialoGPT-large	14.191152572631836	microsoft/DialoGPT-large	exp2
14	appos	singular	gram	e.appos.singular.gram	The	goalie,	who	the	fan	holds	the	greatest	confidence	in,	is	reliably	calm	under	pressure.						The goalie, who the fan holds	DialoGPT-large	13.550600051879885	microsoft/DialoGPT-large	exp2
14	appos	plural	ungram	e.appos.plural.ungram	The	goalies,	who	the	fan	hold	the	greatest	confidence	in,	are	reliably	calm	under	pressure.						The goalies, who the fan hold	DialoGPT-large	16.900928497314453	microsoft/DialoGPT-large	exp2
14	appos	singular	ungram	e.appos.singular.ungram	The	goalie,	who	the	fan	hold	the	greatest	confidence	in,	is	reliably	calm	under	pressure.						The goalie, who the fan hold	DialoGPT-large	16.499588012695312	microsoft/DialoGPT-large	exp2
15	restr	plural	gram	e.restr.plural.gram	The	quarterbacks	who	the	recruiter	watches	from	the	bleachers	every	weekend	might	win	lucrative	contracts.						The quarterbacks who the recruiter watches	DialoGPT-large	9.623406410217283	microsoft/DialoGPT-large	exp2
15	restr	singular	gram	e.restr.singular.gram	The	quarterback	who	the	recruiter	watches	from	the	bleachers	every	weekend	might	win	a	lucrative	contract.					The quarterback who the recruiter watches	DialoGPT-large	10.858386993408203	microsoft/DialoGPT-large	exp2
15	restr	plural	ungram	e.restr.plural.ungram	The	quarterbacks	who	the	recruiter	watch	from	the	bleachers	every	weekend	might	win	lucrative	contracts.						The quarterbacks who the recruiter watch	DialoGPT-large	13.817900657653809	microsoft/DialoGPT-large	exp2
15	restr	singular	ungram	e.restr.singular.ungram	The	quarterback	who	the	recruiter	watch	from	the	bleachers	every	weekend	might	win	a	lucrative	contract.					The quarterback who the recruiter watch	DialoGPT-large	14.300572395324709	microsoft/DialoGPT-large	exp2
15	appos	plural	gram	e.appos.plural.gram	The	quarterbacks,	who	the	recruiter	watches	from	the	bleachers	every	weekend,	might	win	lucrative	contracts.						The quarterbacks, who the recruiter watches	DialoGPT-large	10.03266716003418	microsoft/DialoGPT-large	exp2
15	appos	singular	gram	e.appos.singular.gram	The	quarterback,	who	the	recruiter	watches	from	the	bleachers	every	weekend,	might	win	a	lucrative	contract.					The quarterback, who the recruiter watches	DialoGPT-large	11.014220237731934	microsoft/DialoGPT-large	exp2
15	appos	plural	ungram	e.appos.plural.ungram	The	quarterbacks,	who	the	recruiter	watch	from	the	bleachers	every	weekend,	might	win	lucrative	contracts.						The quarterbacks, who the recruiter watch	DialoGPT-large	13.629657745361328	microsoft/DialoGPT-large	exp2
15	appos	singular	ungram	e.appos.singular.ungram	The	quarterback,	who	the	recruiter	watch	from	the	bleachers	every	weekend,	might	win	a	lucrative	contract.					The quarterback, who the recruiter watch	DialoGPT-large	14.403197288513184	microsoft/DialoGPT-large	exp2
16	restr	plural	gram	e.restr.plural.gram	The	publicists	who	the	politician	uses	during	a	crisis	are	expected	to	do	damage	control.						The publicists who the politician uses	DialoGPT-large	10.715072631835938	microsoft/DialoGPT-large	exp2
