ItemNo,Clause,Distractor,Grammaticality,Condition,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
4,restr,plural,ungram,e.restr.plural.ungram,The,volunteers,who,the,director,rely,on,completely,are,dedicated,to,their,work.,,,,,,,
4,restr,singular,ungram,e.restr.singular.ungram,The,volunteer,who,the,director,rely,on,completely,is,dedicated,to,her,work.,,,,,,,
4,appos,plural,gram,e.appos.plural.gram,The,"volunteers,",who,the,director,relies,"on,",completely,are,dedicated,to,their,work.,,,,,,,
4,appos,singular,gram,e.appos.singular.gram,The,"volunteer,",who,the,director,relies,"on,",completely,is,dedicated,to,her,work.,,,,,,,
4,appos,plural,ungram,e.appos.plural.ungram,The,"volunteers,",who,the,director,rely,"on,",completely,are,dedicated,to,their,work.,,,,,,,
4,appos,singular,ungram,e.appos.singular.ungram,The,"volunteer,",who,the,director,rely,"on,",completely,is,dedicated,to,her,work.,,,,,,,
5,restr,plural,gram,e.restr.plural.gram,The,authors,who,the,librarian,recommends,for,summer,reading,are,very,popular,in,India.,,,,,,
5,restr,singular,gram,e.restr.singular.gram,The,author,who,the,librarian,recommends,for,summer,reading,is,very,popular,in,India.,,,,,,
5,restr,plural,ungram,e.restr.plural.ungram,The,authors,who,the,librarian,recommend,for,summer,reading,are,very,popular,in,India.,,,,,,
5,restr,singular,ungram,e.restr.singular.ungram,The,author,who,the,librarian,recommend,for,summer,reading,is,very,popular,in,India.,,,,,,
5,appos,plural,gram,e.appos.plural.gram,The,"authors,",who,the,librarian,recommends,for,summer,"reading,",are,very,popular,in,India.,,,,,,
5,appos,singular,gram,e.appos.singular.gram,The,"author,",who,the,librarian,recommends,for,summer,"reading,",is,very,popular,in,India.,,,,,,
5,appos,plural,ungram,e.appos.plural.ungram,The,"authors,",who,the,librarian,recommend,for,summer,"reading,",are,very,popular,in,India.,,,,,,
5,appos,singular,ungram,e.appos.singular.ungram,The,"author,",who,the,librarian,recommend,for,summer,"reading,",is,very,popular,in,India.,,,,,,
6,restr,plural,gram,e.restr.plural.gram,The,pilots,who,the,smuggler,employs,in,Brazil,must,be,discreet,and,good,at,thinking,fast.,,,,
6,restr,singular,gram,e.restr.singular.gram,The,pilot,who,the,smuggler,employs,in,Brazil,must,be,discreet,and,good,at,thinking,fast.,,,,
6,restr,plural,ungram,e.restr.plural.ungram,The,pilots,who,the,smuggler,employ,in,Brazil,must,be,discreet,and,good,at,thinking,fast.,,,,
6,restr,singular,ungram,e.restr.singular.ungram,The,pilot,who,the,smuggler,employ,in,Brazil,must,be,discreet,and,good,at,thinking,fast.,,,,
6,appos,plural,gram,e.appos.plural.gram,The,"pilots,",who,the,smuggler,employs,in,"Brazil,",must,be,discreet,and,good,at,thinking,fast.,,,,
6,appos,singular,gram,e.appos.singular.gram,The,"pilot,",who,the,smuggler,employs,in,"Brazil,",must,be,discreet,and,good,at,thinking,fast.,,,,
6,appos,plural,ungram,e.appos.plural.ungram,The,"pilots,",who,the,smuggler,employ,in,"Brazil,",must,be,discreet,and,good,at,thinking,fast.,,,,
6,appos,singular,ungram,e.appos.singular.ungram,The,"pilot,",who,the,smuggler,employ,in,"Brazil,",must,be,discreet,and,good,at,thinking,fast.,,,,
7,restr,plural,gram,e.restr.plural.gram,The,colleagues,who,the,researcher,spends,the,most,time,with,come,up,with,crazy,but,inventive,ideas.,,,
7,restr,singular,gram,e.restr.singular.gram,The,colleague,who,the,researcher,spends,the,most,time,with,comes,up,with,crazy,but,inventive,ideas.,,,
7,restr,plural,ungram,e.restr.plural.ungram,The,colleagues,who,the,researcher,spend,the,most,time,with,come,up,with,crazy,but,inventive,ideas.,,,
7,restr,singular,ungram,e.restr.singular.ungram,The,colleague,who,the,researcher,spend,the,most,time,with,comes,up,with,crazy,but,inventive,ideas.,,,
7,appos,plural,gram,e.appos.plural.gram,The,"colleagues,",who,the,researcher,spends,the,most,time,"with,",come,up,with,crazy,but,inventive,ideas.,,,
7,appos,singular,gram,e.appos.singular.gram,The,"colleague,",who,the,researcher,spends,the,most,time,"with,",comes,up,with,crazy,but,inventive,ideas.,,,
7,appos,plural,ungram,e.appos.plural.ungram,The,"colleagues,",who,the,researcher,spend,the,most,time,"with,",come,up,with,crazy,but,inventive,ideas.,,,
7,appos,singular,ungram,e.appos.singular.ungram,The,"colleague,",who,the,researcher,spend,the,most,time,"with,",comes,up,with,crazy,but,inventive,ideas.,,,
8,restr,plural,gram,e.restr.plural.gram,The,patients,who,the,doctor,checks,on,daily,are,undergoing,an,experimental,treatment.,,,,,,,
8,restr,singular,gram,e.restr.singular.gram,The,patient,who,the,doctor,checks,on,daily,is,undergoing,an,experimental,treatment.,,,,,,,
8,restr,plural,ungram,e.restr.plural.ungram,The,patients,who,the,doctor,check,on,daily,are,undergoing,an,experimental,treatment.,,,,,,,
8,restr,singular,ungram,e.restr.singular.ungram,The,patient,who,the,doctor,check,on,daily,is,undergoing,an,experimental,treatment.,,,,,,,
8,appos,plural,gram,e.appos.plural.gram,The,"patients,",who,the,doctor,checks,on,"daily,",are,undergoing,an,experimental,treatment.,,,,,,,
8,appos,singular,gram,e.appos.singular.gram,The,"patient,",who,the,doctor,checks,on,"daily,",is,undergoing,an,experimental,treatment.,,,,,,,
8,appos,plural,ungram,e.appos.plural.ungram,The,"patients,",who,the,doctor,check,on,"daily,",are,undergoing,an,experimental,treatment.,,,,,,,
8,appos,singular,ungram,e.appos.singular.ungram,The,"patient,",who,the,doctor,check,on,"daily,",is,undergoing,an,experimental,treatment.,,,,,,,
9,restr,plural,gram,e.restr.plural.gram,The,Marines,who,the,officer,wants,to,promote,are,always,ready,to,risk,their,lives,for,someone,in,need.,
9,restr,singular,gram,e.restr.singular.gram,The,Marine,who,the,officer,wants,to,promote,is,always,ready,to,risk,his,life,for,someone,in,need.,
9,restr,plural,ungram,e.restr.plural.ungram,The,Marines,who,the,officer,want,to,promote,are,always,ready,to,risk,their,lives,for,someone,in,need.,
9,restr,singular,ungram,e.restr.singular.ungram,The,Marine,who,the,officer,want,to,promote,is,always,ready,to,risk,his,life,for,someone,in,need.,
9,appos,plural,gram,e.appos.plural.gram,The,"Marines,",who,the,officer,wants,to,"promote,",are,always,ready,to,risk,their,lives,for,someone,in,need.,
9,appos,singular,gram,e.appos.singular.gram,The,"Marine,",who,the,officer,wants,to,"promote,",is,always,ready,to,risk,his,life,for,someone,in,need.,
9,appos,plural,ungram,e.appos.plural.ungram,The,"Marines,",who,the,officer,want,to,"promote,",are,always,ready,to,risk,their,lives,for,someone,in,need.,
9,appos,singular,ungram,e.appos.singular.ungram,The,"Marine,",who,the,officer,want,to,"promote,",is,always,ready,to,risk,his,life,for,someone,in,need.,
10,restr,plural,gram,e.restr.plural.gram,The,sculptors,who,the,donor,supports,so,generously,have,held,several,acclaimed,exhibitions.,,,,,,,
10,restr,singular,gram,e.restr.singular.gram,The,sculptor,who,the,donor,supports,so,generously,has,held,several,acclaimed,exhibitions.,,,,,,,
10,restr,plural,ungram,e.restr.plural.ungram,The,sculptors,who,the,donor,support,so,generously,have,held,several,acclaimed,exhibitions.,,,,,,,
10,restr,singular,ungram,e.restr.singular.ungram,The,sculptor,who,the,donor,support,so,generously,has,held,several,acclaimed,exhibitions.,,,,,,,
10,appos,plural,gram,e.appos.plural.gram,The,"sculptors,",who,the,donor,supports,so,"generously,",have,held,several,acclaimed,exhibitions.,,,,,,,
10,appos,singular,gram,e.appos.singular.gram,The,"sculptor,",who,the,donor,supports,so,"generously,",has,held,several,acclaimed,exhibitions.,,,,,,,
10,appos,plural,ungram,e.appos.plural.ungram,The,"sculptors,",who,the,donor,support,so,"generously,",have,held,several,acclaimed,exhibitions.,,,,,,,
10,appos,singular,ungram,e.appos.singular.ungram,The,"sculptor,",who,the,donor,support,so,"generously,",has,held,several,acclaimed,exhibitions.,,,,,,,
11,restr,plural,gram,e.restr.plural.gram,The,caterers,who,the,hostess,suggests,to,her,friends,are,excellent,but,outrageously,expensive.,,,,,,
11,restr,singular,gram,e.restr.singular.gram,The,caterer,who,the,hostess,suggests,to,her,friends,is,excellent,but,outrageously,expensive.,,,,,,
11,restr,plural,ungram,e.restr.plural.ungram,The,caterers,who,the,hostess,suggest,to,her,friends,are,excellent,but,outrageously,expensive.,,,,,,
11,restr,singular,ungram,e.restr.singular.ungram,The,caterer,who,the,hostess,suggest,to,her,friends,is,excellent,but,outrageously,expensive.,,,,,,
11,appos,plural,gram,e.appos.plural.gram,The,"caterers,",who,the,hostess,suggests,to,her,"friends,",are,excellent,but,outrageously,expensive.,,,,,,
11,appos,singular,gram,e.appos.singular.gram,The,"caterer,",who,the,hostess,suggests,to,her,"friends,",is,excellent,but,outrageously,expensive.,,,,,,
11,appos,plural,ungram,e.appos.plural.ungram,The,"caterers,",who,the,hostess,suggest,to,her,"friends,",are,excellent,but,outrageously,expensive.,,,,,,
11,appos,singular,ungram,e.appos.singular.ungram,The,"caterer,",who,the,hostess,suggest,to,her,"friends,",is,excellent,but,outrageously,expensive.,,,,,,
12,restr,plural,gram,e.restr.plural.gram,The,senators,who,the,voter,listens,to,patiently,at,all,the,local,political,events,just,never,seem,trustworthy.,,
12,restr,singular,gram,e.restr.singular.gram,The,senator,who,the,voter,listens,to,patiently,at,all,the,local,political,events,just,never,seems,trustworthy.,,
12,restr,plural,ungram,e.restr.plural.ungram,The,senators,who,the,voter,listen,to,patiently,at,all,the,local,political,events,just,never,seem,trustworthy.,,
12,restr,singular,ungram,e.restr.singular.ungram,The,senator,who,the,voter,listen,to,patiently,at,all,the,local,political,events,just,never,seems,trustworthy.,,
12,appos,plural,gram,e.appos.plural.gram,The,"senators,",who,the,voter,listens,to,patiently,at,all,the,local,political,"events,",just,never,seem,trustworthy.,,
12,appos,singular,gram,e.appos.singular.gram,The,"senator,",who,the,voter,listens,to,patiently,at,all,the,local,political,"events,",just,never,seems,trustworthy.,,
12,appos,plural,ungram,e.appos.plural.ungram,The,"senators,",who,the,voter,listen,to,patiently,at,all,the,local,political,"events,",just,never,seem,trustworthy.,,
12,appos,singular,ungram,e.appos.singular.ungram,The,"senator,",who,the,voter,listen,to,patiently,at,all,the,local,political,"events,",just,never,seems,trustworthy.,,
13,restr,plural,gram,e.restr.plural.gram,The,teenagers,who,the,farmer,hires,to,pick,fruit,every,summer,usually,work,pretty,hard.,,,,,
13,restr,singular,gram,e.restr.singular.gram,The,teenager,who,the,farmer,hires,to,pick,fruit,every,summer,usually,works,pretty,hard.,,,,,
13,restr,plural,ungram,e.restr.plural.ungram,The,teenagers,who,the,farmer,hire,to,pick,fruit,every,summer,usually,work,pretty,hard.,,,,,
13,restr,singular,ungram,e.restr.singular.ungram,The,teenager,who,the,farmer,hire,to,pick,fruit,every,summer,usually,works,pretty,hard.,,,,,
13,appos,plural,gram,e.appos.plural.gram,The,"teenagers,",who,the,farmer,hires,to,pick,fruit,every,"summer,",usually,work,pretty,hard.,,,,,
13,appos,singular,gram,e.appos.singular.gram,The,"teenager,",who,the,farmer,hires,to,pick,fruit,every,"summer,",usually,works,pretty,hard.,,,,,
13,appos,plural,ungram,e.appos.plural.ungram,The,"teenagers,",who,the,farmer,hire,to,pick,fruit,every,"summer,",usually,work,pretty,hard.,,,,,
13,appos,singular,ungram,e.appos.singular.ungram,The,"teenager,",who,the,farmer,hire,to,pick,fruit,every,"summer,",usually,works,pretty,hard.,,,,,
14,restr,plural,gram,e.restr.plural.gram,The,goalies,who,the,fan,holds,the,greatest,confidence,in,are,reliably,calm,under,pressure.,,,,,
14,restr,singular,gram,e.restr.singular.gram,The,goalie,who,the,fan,holds,the,greatest,confidence,in,is,reliably,calm,under,pressure.,,,,,
14,restr,plural,ungram,e.restr.plural.ungram,The,goalies,who,the,fan,hold,the,greatest,confidence,in,are,reliably,calm,under,pressure.,,,,,
14,restr,singular,ungram,e.restr.singular.ungram,The,goalie,who,the,fan,hold,the,greatest,confidence,in,is,reliably,calm,under,pressure.,,,,,
14,appos,plural,gram,e.appos.plural.gram,The,"goalies,",who,the,fan,holds,the,greatest,confidence,"in,",are,reliably,calm,under,pressure.,,,,,
14,appos,singular,gram,e.appos.singular.gram,The,"goalie,",who,the,fan,holds,the,greatest,confidence,"in,",is,reliably,calm,under,pressure.,,,,,
14,appos,plural,ungram,e.appos.plural.ungram,The,"goalies,",who,the,fan,hold,the,greatest,confidence,"in,",are,reliably,calm,under,pressure.,,,,,
14,appos,singular,ungram,e.appos.singular.ungram,The,"goalie,",who,the,fan,hold,the,greatest,confidence,"in,",is,reliably,calm,under,pressure.,,,,,
15,restr,plural,gram,e.restr.plural.gram,The,quarterbacks,who,the,recruiter,watches,from,the,bleachers,every,weekend,might,win,lucrative,contracts.,,,,,
15,restr,singular,gram,e.restr.singular.gram,The,quarterback,who,the,recruiter,watches,from,the,bleachers,every,weekend,might,win,a,lucrative,contract.,,,,
15,restr,plural,ungram,e.restr.plural.ungram,The,quarterbacks,who,the,recruiter,watch,from,the,bleachers,every,weekend,might,win,lucrative,contracts.,,,,,
15,restr,singular,ungram,e.restr.singular.ungram,The,quarterback,who,the,recruiter,watch,from,the,bleachers,every,weekend,might,win,a,lucrative,contract.,,,,
15,appos,plural,gram,e.appos.plural.gram,The,"quarterbacks,",who,the,recruiter,watches,from,the,bleachers,every,"weekend,",might,win,lucrative,contracts.,,,,,
15,appos,singular,gram,e.appos.singular.gram,The,"quarterback,",who,the,recruiter,watches,from,the,bleachers,every,"weekend,",might,win,a,lucrative,contract.,,,,
15,appos,plural,ungram,e.appos.plural.ungram,The,"quarterbacks,",who,the,recruiter,watch,from,the,bleachers,every,"weekend,",might,win,lucrative,contracts.,,,,,
15,appos,singular,ungram,e.appos.singular.ungram,The,"quarterback,",who,the,recruiter,watch,from,the,bleachers,every,"weekend,",might,win,a,lucrative,contract.,,,,
16,restr,plural,gram,e.restr.plural.gram,The,publicists,who,the,politician,uses,during,a,crisis,are,expected,to,do,damage,control.,,,,,
16,restr,singular,gram,e.restr.singular.gram,The,publicist,who,the,politician,uses,during,a,crisis,is,expected,to,do,damage,control.,,,,,
16,restr,plural,ungram,e.restr.plural.ungram,The,publicists,who,the,politician,use,during,a,crisis,are,expected,to,do,damage,control.,,,,,
16,restr,singular,ungram,e.restr.singular.ungram,The,publicist,who,the,politician,use,during,a,crisis,is,expected,to,do,damage,control.,,,,,
16,appos,plural,gram,e.appos.plural.gram,The,"publicists,",who,the,politician,uses,during,a,"crisis,",are,expected,to,do,damage,control.,,,,,
16,appos,singular,gram,e.appos.singular.gram,The,"publicist,",who,the,politician,uses,during,a,"crisis,",is,expected,to,do,damage,control.,,,,,
16,appos,plural,ungram,e.appos.plural.ungram,The,"publicists,",who,the,politician,use,during,a,"crisis,",are,expected,to,do,damage,control.,,,,,
16,appos,singular,ungram,e.appos.singular.ungram,The,"publicist,",who,the,politician,use,during,a,"crisis,",is,expected,to,do,damage,control.,,,,,
17,restr,plural,gram,e.restr.plural.gram,The,tenants,who,the,landlord,strongly,disapproves,of,stay,out,late,on,weekends,and,never,mow,their,lawn.,,
17,restr,singular,gram,e.restr.singular.gram,The,tenant,who,the,landlord,strongly,disapproves,of,stays,out,late,on,weekends,and,never,mows,his,lawn.,,
17,restr,plural,ungram,e.restr.plural.ungram,The,tenants,who,the,landlord,strongly,disapprove,of,stay,out,late,on,weekends,and,never,mow,their,lawn.,,
17,restr,singular,ungram,e.restr.singular.ungram,The,tenant,who,the,landlord,strongly,disapprove,of,stays,out,late,on,weekends,and,never,mows,his,lawn.,,
17,appos,plural,gram,e.appos.plural.gram,The,"tenants,",who,the,landlord,strongly,disapproves,"of,",stay,out,late,on,weekends,and,never,mow,their,lawn.,,
17,appos,singular,gram,e.appos.singular.gram,The,"tenant,",who,the,landlord,strongly,disapproves,"of,",stays,out,late,on,weekends,and,never,mows,his,lawn.,,
17,appos,plural,ungram,e.appos.plural.ungram,The,"tenants,",who,the,landlord,strongly,disapprove,"of,",stay,out,late,on,weekends,and,never,mow,their,lawn.,,
17,appos,singular,ungram,e.appos.singular.ungram,The,"tenant,",who,the,landlord,strongly,disapprove,"of,",stays,out,late,on,weekends,and,never,mows,his,lawn.,,
18,restr,plural,gram,e.restr.plural.gram,The,skateboarders,who,the,kid,admires,passionately,always,sign,autographs,for,fans.,,,,,,,,
18,restr,singular,gram,e.restr.singular.gram,The,skateboarder,who,the,kid,admires,passionately,always,signs,autographs,for,fans.,,,,,,,,
18,restr,plural,ungram,e.restr.plural.ungram,The,skateboarders,who,the,kid,admire,passionately,always,sign,autographs,for,fans.,,,,,,,,
18,restr,singular,ungram,e.restr.singular.ungram,The,skateboarder,who,the,kid,admire,passionately,always,signs,autographs,for,fans.,,,,,,,,
18,appos,plural,gram,e.appos.plural.gram,The,"skateboarders,",who,the,kid,admires,"passionately,",always,sign,autographs,for,fans.,,,,,,,,
18,appos,singular,gram,e.appos.singular.gram,The,"skateboarder,",who,the,kid,admires,"passionately,",always,signs,autographs,for,fans.,,,,,,,,
18,appos,plural,ungram,e.appos.plural.ungram,The,"skateboarders,",who,the,kid,admire,"passionately,",always,sign,autographs,for,fans.,,,,,,,,
18,appos,singular,ungram,e.appos.singular.ungram,The,"skateboarder,",who,the,kid,admire,"passionately,",always,signs,autographs,for,fans.,,,,,,,,
19,restr,plural,gram,e.restr.plural.gram,The,chefs,who,the,gourmet,visits,regularly,always,come,up,with,daring,new,recipes.,,,,,,
19,restr,singular,gram,e.restr.singular.gram,The,chef,who,the,gourmet,visits,regularly,always,comes,up,with,daring,new,recipes.,,,,,,
19,restr,plural,ungram,e.restr.plural.ungram,The,chefs,who,the,gourmet,visit,regularly,always,come,up,with,daring,new,recipes.,,,,,,
19,restr,singular,ungram,e.restr.singular.ungram,The,chef,who,the,gourmet,visit,regularly,always,comes,up,with,daring,new,recipes.,,,,,,
19,appos,plural,gram,e.appos.plural.gram,The,"chefs,",who,the,gourmet,visits,"regularly,",always,come,up,with,daring,new,recipes.,,,,,,
19,appos,singular,gram,e.appos.singular.gram,The,"chef,",who,the,gourmet,visits,"regularly,",always,comes,up,with,daring,new,recipes.,,,,,,
19,appos,plural,ungram,e.appos.plural.ungram,The,"chefs,",who,the,gourmet,visit,"regularly,",always,come,up,with,daring,new,recipes.,,,,,,
19,appos,singular,ungram,e.appos.singular.ungram,The,"chef,",who,the,gourmet,visit,"regularly,",always,comes,up,with,daring,new,recipes.,,,,,,
20,restr,plural,gram,e.restr.plural.gram,The,firefighters,who,the,ranger,keeps,on,hand,during,the,summer,months,have,special,training,in,forest,fires.,,
20,restr,singular,gram,e.restr.singular.gram,The,firefighter,who,the,ranger,keeps,on,hand,during,the,summer,months,has,special,training,in,forest,fires.,,
20,restr,plural,ungram,e.restr.plural.ungram,The,firefighters,who,the,ranger,keep,on,hand,during,the,summer,months,have,special,training,in,forest,fires.,,
20,restr,singular,ungram,e.restr.singular.ungram,The,firefighter,who,the,ranger,keep,on,hand,during,the,summer,months,has,special,training,in,forest,fires.,,
20,appos,plural,gram,e.appos.plural.gram,The,"firefighters,",who,the,ranger,keeps,on,hand,during,the,summer,"months,",have,special,training,in,forest,fires.,,
20,appos,singular,gram,e.appos.singular.gram,The,"firefighter,",who,the,ranger,keeps,on,hand,during,the,summer,"months,",has,special,training,in,forest,fires.,,
20,appos,plural,ungram,e.appos.plural.ungram,The,"firefighters,",who,the,ranger,keep,on,hand,during,the,summer,"months,",have,special,training,in,forest,fires.,,
20,appos,singular,ungram,e.appos.singular.ungram,The,"firefighter,",who,the,ranger,keep,on,hand,during,the,summer,"months,",has,special,training,in,forest,fires.,,
21,restr,plural,gram,e.restr.plural.gram,The,overseers,who,the,worker,distrusts,the,most,have,been,firing,anyone,who,mentions,unions.,,,,,
21,restr,singular,gram,e.restr.singular.gram,The,overseer,who,the,worker,distrusts,the,most,has,been,firing,anyone,who,mentions,unions.,,,,,
21,restr,plural,ungram,e.restr.plural.ungram,The,overseers,who,the,worker,distrust,the,most,have,been,firing,anyone,who,mentions,unions.,,,,,
21,restr,singular,ungram,e.restr.singular.ungram,The,overseer,who,the,worker,distrust,the,most,has,been,firing,anyone,who,mentions,unions.,,,,,
21,appos,plural,gram,e.appos.plural.gram,The,"overseers,",who,the,worker,distrusts,the,"most,",have,been,firing,anyone,who,mentions,unions.,,,,,
21,appos,singular,gram,e.appos.singular.gram,The,"overseer,",who,the,worker,distrusts,the,"most,",has,been,firing,anyone,who,mentions,unions.,,,,,
21,appos,plural,ungram,e.appos.plural.ungram,The,"overseers,",who,the,worker,distrust,the,"most,",have,been,firing,anyone,who,mentions,unions.,,,,,
21,appos,singular,ungram,e.appos.singular.ungram,The,"overseer,",who,the,worker,distrust,the,"most,",has,been,firing,anyone,who,mentions,unions.,,,,,
22,restr,plural,gram,e.restr.plural.gram,The,heiresses,who,the,bachelor,pursues,so,relentlessly,are,clever,and,won't,be,easily,fooled.,,,,,
22,restr,singular,gram,e.restr.singular.gram,The,heiress,who,the,bachelor,pursues,so,relentlessly,is,clever,and,won't,be,easily,fooled.,,,,,
22,restr,plural,ungram,e.restr.plural.ungram,The,heiresses,who,the,bachelor,pursue,so,relentlessly,are,clever,and,won't,be,easily,fooled.,,,,,
22,restr,singular,ungram,e.restr.singular.ungram,The,heiress,who,the,bachelor,pursue,so,relentlessly,is,clever,and,won't,be,easily,fooled.,,,,,
22,appos,plural,gram,e.appos.plural.gram,The,"heiresses,",who,the,bachelor,pursues,so,"relentlessly,",are,clever,and,won't,be,easily,fooled.,,,,,
22,appos,singular,gram,e.appos.singular.gram,The,"heiress,",who,the,bachelor,pursues,so,"relentlessly,",is,clever,and,won't,be,easily,fooled.,,,,,
22,appos,plural,ungram,e.appos.plural.ungram,The,"heiresses,",who,the,bachelor,pursue,so,"relentlessly,",are,clever,and,won't,be,easily,fooled.,,,,,
22,appos,singular,ungram,e.appos.singular.ungram,The,"heiress,",who,the,bachelor,pursue,so,"relentlessly,",is,clever,and,won't,be,easily,fooled.,,,,,
23,restr,plural,gram,e.restr.plural.gram,The,actors,who,the,producer,considers,the,safest,bet,are,the,ones,who,have,been,around,for,a,while.,
23,restr,singular,gram,e.restr.singular.gram,The,actor,who,the,producer,considers,the,safest,bet,is,the,one,who,has,been,around,for,a,while.,
23,restr,plural,ungram,e.restr.plural.ungram,The,actors,who,the,producer,consider,the,safest,bet,are,the,ones,who,have,been,around,for,a,while.,
23,restr,singular,ungram,e.restr.singular.ungram,The,actor,who,the,producer,consider,the,safest,bet,is,the,one,who,has,been,around,for,a,while.,
23,appos,plural,gram,e.appos.plural.gram,The,"actors,",who,the,producer,considers,the,safest,"bet,",are,the,ones,who,have,been,around,for,a,while.,
23,appos,singular,gram,e.appos.singular.gram,The,"actor,",who,the,producer,considers,the,safest,"bet,",is,the,one,who,has,been,around,for,a,while.,
23,appos,plural,ungram,e.appos.plural.ungram,The,"actors,",who,the,producer,consider,the,safest,"bet,",are,the,ones,who,have,been,around,for,a,while.,
23,appos,singular,ungram,e.appos.singular.ungram,The,"actor,",who,the,producer,consider,the,safest,"bet,",is,the,one,who,has,been,around,for,a,while.,
24,restr,plural,gram,e.restr.plural.gram,The,accountants,who,the,administrator,depends,on,to,balance,the,books,are,very,well,paid.,,,,,
24,restr,singular,gram,e.restr.singular.gram,The,accountant,who,the,administrator,depends,on,to,balance,the,books,is,very,well,paid.,,,,,
24,restr,plural,ungram,e.restr.plural.ungram,The,accountants,who,the,administrator,depend,on,to,balance,the,books,are,very,well,paid.,,,,,
24,restr,singular,ungram,e.restr.singular.ungram,The,accountant,who,the,administrator,depend,on,to,balance,the,books,is,very,well,paid.,,,,,
24,appos,plural,gram,e.appos.plural.gram,The,"accountants,",who,the,administrator,depends,on,to,balance,the,"books,",are,very,well,paid.,,,,,
24,appos,singular,gram,e.appos.singular.gram,The,"accountant,",who,the,administrator,depends,on,to,balance,the,"books,",is,very,well,paid.,,,,,
