ItemNo,Clause,Distractor,Grammaticality,Condition,Question,Answer,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
4,restr,singular,gram,e.restr.singular.gram,Was the mom excited by the bickering in the car?,no,The_mom,who,drove,with,the_kid,unsurprisingly,was,tired,of,all,the_bickering,in,the_car.
4,restr,plural,ungram,e.restr.plural.ungram,Was the mom excited by the bickering in the car?,no,The_mom,who,drove,with,the_kids,unsurprisingly,were,tired,of,all,the_bickering,in,the_car.
4,restr,singular,ungram,e.restr.singular.ungram,Was the mom excited by the bickering in the car?,no,The_mom,who,drove,with,the_kid,unsurprisingly,were,tired,of,all,the_bickering,in,the_car.
5,appos,plural,gram,e.appos.plural.gram,Was the kid in trouble?,yes,"The_kid,",who,hid,behind,"the_toys,",definitely,was,in,a,lot,of,trouble.,
5,appos,singular,gram,e.appos.singular.gram,Was the kid in trouble?,yes,"The_kid,",who,hid,behind,"the_toy,",definitely,was,in,a,lot,of,trouble.,
5,appos,plural,ungram,e.appos.plural.ungram,Was the kid in trouble?,yes,"The_kid,",who,hid,behind,"the_toys,",definitely,were,in,a,lot,of,trouble.,
5,appos,singular,ungram,e.appos.singular.ungram,Was the kid in trouble?,yes,"The_kid,",who,hid,behind,"the_toy,",definitely,were,in,a,lot,of,trouble.,
5,restr,plural,gram,e.restr.plural.gram,Was the kid in trouble?,yes,The_kid,who,hid,behind,the_toys,definitely,was,in,a,lot,of,trouble.,
5,restr,singular,gram,e.restr.singular.gram,Was the kid in trouble?,yes,The_kid,who,hid,behind,the_toy,definitely,was,in,a,lot,of,trouble.,
5,restr,plural,ungram,e.restr.plural.ungram,Was the kid in trouble?,yes,The_kid,who,hid,behind,the_toys,definitely,were,in,a,lot,of,trouble.,
5,restr,singular,ungram,e.restr.singular.ungram,Was the kid in trouble?,yes,The_kid,who,hid,behind,the_toy,definitely,were,in,a,lot,of,trouble.,
6,appos,plural,gram,e.appos.plural.gram,Was it the firefighter who was mentioned in the newspaper?,no,"The_policeman,",who,patrolled,through,"the_neighborhoods,",evidently,was,mentioned,in,the,newspaper.,,
6,appos,singular,gram,e.appos.singular.gram,Was it the firefighter who was mentioned in the newspaper?,no,"The_policeman,",who,patrolled,through,"the_neighborhood,",evidently,was,mentioned,in,the,newspaper.,,
6,appos,plural,ungram,e.appos.plural.ungram,Was it the firefighter who was mentioned in the newspaper?,no,"The_policeman,",who,patrolled,through,"the_neighborhoods,",evidently,were,mentioned,in,the,newspaper.,,
6,appos,singular,ungram,e.appos.singular.ungram,Was it the firefighter who was mentioned in the newspaper?,no,"The_policeman,",who,patrolled,through,"the_neighborhood,",evidently,were,mentioned,in,the,newspaper.,,
6,restr,plural,gram,e.restr.plural.gram,Was it the firefighter who was mentioned in the newspaper?,no,The_policeman,who,patrolled,through,the_neighborhoods,evidently,was,mentioned,in,the,newspaper.,,
6,restr,singular,gram,e.restr.singular.gram,Was it the firefighter who was mentioned in the newspaper?,no,The_policeman,who,patrolled,through,the_neighborhood,evidently,was,mentioned,in,the,newspaper.,,
6,restr,plural,ungram,e.restr.plural.ungram,Was it the firefighter who was mentioned in the newspaper?,no,The_policeman,who,patrolled,through,the_neighborhoods,evidently,were,mentioned,in,the,newspaper.,,
6,restr,singular,ungram,e.restr.singular.ungram,Was it the firefighter who was mentioned in the newspaper?,no,The_policeman,who,patrolled,through,the_neighborhood,evidently,were,mentioned,in,the,newspaper.,,
7,appos,plural,gram,e.appos.plural.gram,Was the goat seen on the side of the road?,yes,"The_goat,",which,ate,from,"the_cans,",evidently,was,seen,on,the,side,of,the_road.
7,appos,singular,gram,e.appos.singular.gram,Was the goat seen on the side of the road?,yes,"The_goat,",which,ate,from,"the_can,",evidently,was,seen,on,the,side,of,the_road.
7,appos,plural,ungram,e.appos.plural.ungram,Was the goat seen on the side of the road?,yes,"The_goat,",which,ate,from,"the_cans,",evidently,were,seen,on,the,side,of,the_road.
7,appos,singular,ungram,e.appos.singular.ungram,Was the goat seen on the side of the road?,yes,"The_goat,",which,ate,from,"the_can,",evidently,were,seen,on,the,side,of,the_road.
7,restr,plural,gram,e.restr.plural.gram,Was the goat seen on the side of the road?,yes,The_goat,which,ate,from,the_cans,evidently,was,seen,on,the,side,of,the_road.
7,restr,singular,gram,e.restr.singular.gram,Was the goat seen on the side of the road?,yes,The_goat,which,ate,from,the_can,evidently,was,seen,on,the,side,of,the_road.
7,restr,plural,ungram,e.restr.plural.ungram,Was the goat seen on the side of the road?,yes,The_goat,which,ate,from,the_cans,evidently,were,seen,on,the,side,of,the_road.
7,restr,singular,ungram,e.restr.singular.ungram,Was the goat seen on the side of the road?,yes,The_goat,which,ate,from,the_can,evidently,were,seen,on,the,side,of,the_road.
8,appos,plural,gram,e.appos.plural.gram,Was the scientist unafraid of the consequences?,no,"The_scientist,",who,prepared,for,"the_experiments,",suddenly,was,scared,about,all,the_consequences.,,
8,appos,singular,gram,e.appos.singular.gram,Was the scientist unafraid of the consequences?,no,"The_scientist,",who,prepared,for,"the_experiment,",suddenly,was,scared,about,all,the_consequences.,,
8,appos,plural,ungram,e.appos.plural.ungram,Was the scientist unafraid of the consequences?,no,"The_scientist,",who,prepared,for,"the_experiments,",suddenly,were,scared,about,all,the_consequences.,,
8,appos,singular,ungram,e.appos.singular.ungram,Was the scientist unafraid of the consequences?,no,"The_scientist,",who,prepared,for,"the_experiment,",suddenly,were,scared,about,all,the_consequences.,,
8,restr,plural,gram,e.restr.plural.gram,Was the scientist unafraid of the consequences?,no,The_scientist,who,prepared,for,the_experiments,suddenly,was,scared,about,all,the_consequences.,,
8,restr,singular,gram,e.restr.singular.gram,Was the scientist unafraid of the consequences?,no,The_scientist,who,prepared,for,the_experiment,suddenly,was,scared,about,all,the_consequences.,,
8,restr,plural,ungram,e.restr.plural.ungram,Was the scientist unafraid of the consequences?,no,The_scientist,who,prepared,for,the_experiments,suddenly,were,scared,about,all,the_consequences.,,
8,restr,singular,ungram,e.restr.singular.ungram,Was the scientist unafraid of the consequences?,no,The_scientist,who,prepared,for,the_experiment,suddenly,were,scared,about,all,the_consequences.,,
9,appos,plural,gram,e.appos.plural.gram,Was it likely that the student was worried about her grade?,yes,"The_student,",who,wrote,to,"the_professors,",likely,was,concerned,about,her,low,grade.,
9,appos,singular,gram,e.appos.singular.gram,Was it likely that the student was worried about her grade?,yes,"The_student,",who,wrote,to,"the_professor,",likely,was,concerned,about,her,low,grade.,
9,appos,plural,ungram,e.appos.plural.ungram,Was it likely that the student was worried about her grade?,yes,"The_student,",who,wrote,to,"the_professors,",likely,were,concerned,about,her,low,grade.,
9,appos,singular,ungram,e.appos.singular.ungram,Was it likely that the student was worried about her grade?,yes,"The_student,",who,wrote,to,"the_professor,",likely,were,concerned,about,her,low,grade.,
9,restr,plural,gram,e.restr.plural.gram,Was it likely that the student was worried about her grade?,yes,The_student,who,wrote,to,the_professors,likely,was,concerned,about,her,low,grade.,
9,restr,singular,gram,e.restr.singular.gram,Was it likely that the student was worried about her grade?,yes,The_student,who,wrote,to,the_professor,likely,was,concerned,about,her,low,grade.,
9,restr,plural,ungram,e.restr.plural.ungram,Was it likely that the student was worried about her grade?,yes,The_student,who,wrote,to,the_professors,likely,were,concerned,about,her,low,grade.,
9,restr,singular,ungram,e.restr.singular.ungram,Was it likely that the student was worried about her grade?,yes,The_student,who,wrote,to,the_professor,likely,were,concerned,about,her,low,grade.,
10,appos,plural,gram,e.appos.plural.gram,Was it the journalist who investigated something?,no,"The_journalist,",who,read,about,"the_reports,",apparently,was,investigated,for,fraudulent,investigative,journalism.,
10,appos,singular,gram,e.appos.singular.gram,Was it the journalist who investigated something?,no,"The_journalist,",who,read,about,"the_report,",apparently,was,investigated,for,fraudulent,investigative,journalism.,
10,appos,plural,ungram,e.appos.plural.ungram,Was it the journalist who investigated something?,no,"The_journalist,",who,read,about,"the_reports,",apparently,were,investigated,for,fraudulent,investigative,journalism.,
10,appos,singular,ungram,e.appos.singular.ungram,Was it the journalist who investigated something?,no,"The_journalist,",who,read,about,"the_report,",apparently,were,investigated,for,fraudulent,investigative,journalism.,
10,restr,plural,gram,e.restr.plural.gram,Was it the journalist who investigated something?,no,The_journalist,who,read,about,the_reports,apparently,was,investigated,for,fraudulent,investigative,journalism.,
10,restr,singular,gram,e.restr.singular.gram,Was it the journalist who investigated something?,no,The_journalist,who,read,about,the_report,apparently,was,investigated,for,fraudulent,investigative,journalism.,
10,restr,plural,ungram,e.restr.plural.ungram,Was it the journalist who investigated something?,no,The_journalist,who,read,about,the_reports,apparently,were,investigated,for,fraudulent,investigative,journalism.,
10,restr,singular,ungram,e.restr.singular.ungram,Was it the journalist who investigated something?,no,The_journalist,who,read,about,the_report,apparently,were,investigated,for,fraudulent,investigative,journalism.,
11,appos,plural,gram,e.appos.plural.gram,Was the boy excited about being bitten?,no,"The_boy,",who,walked,toward,"the_dogs,",probably,was,scared,about,being,bitten.,,
11,appos,singular,gram,e.appos.singular.gram,Was the boy excited about being bitten?,no,"The_boy,",who,walked,toward,"the_dog,",probably,was,scared,about,being,bitten.,,
11,appos,plural,ungram,e.appos.plural.ungram,Was the boy excited about being bitten?,no,"The_boy,",who,walked,toward,"the_dogs,",probably,were,scared,about,being,bitten.,,
11,appos,singular,ungram,e.appos.singular.ungram,Was the boy excited about being bitten?,no,"The_boy,",who,walked,toward,"the_dog,",probably,were,scared,about,being,bitten.,,
11,restr,plural,gram,e.restr.plural.gram,Was the boy excited about being bitten?,no,The_boy,who,walked,toward,the_dogs,probably,was,scared,about,being,bitten.,,
11,restr,singular,gram,e.restr.singular.gram,Was the boy excited about being bitten?,no,The_boy,who,walked,toward,the_dog,probably,was,scared,about,being,bitten.,,
11,restr,plural,ungram,e.restr.plural.ungram,Was the boy excited about being bitten?,no,The_boy,who,walked,toward,the_dogs,probably,were,scared,about,being,bitten.,,
11,restr,singular,ungram,e.restr.singular.ungram,Was the boy excited about being bitten?,no,The_boy,who,walked,toward,the_dog,probably,were,scared,about,being,bitten.,,
12,appos,plural,gram,e.appos.plural.gram,Was the woman happy about the road trip?,yes,"The_woman,",who,walked,by,"the_dogs,",clearly,was,happy,about,the,cross-country,road_trip.,
12,appos,singular,gram,e.appos.singular.gram,Was the woman happy about the road trip?,yes,"The_woman,",who,walked,by,"the_dog,",clearly,was,happy,about,the,cross-country,road_trip.,
12,appos,plural,ungram,e.appos.plural.ungram,Was the woman happy about the road trip?,yes,"The_woman,",who,walked,by,"the_dogs,",clearly,were,happy,about,the,cross-country,road_trip.,
12,appos,singular,ungram,e.appos.singular.ungram,Was the woman happy about the road trip?,yes,"The_woman,",who,walked,by,"the_dog,",clearly,were,happy,about,the,cross-country,road_trip.,
12,restr,plural,gram,e.restr.plural.gram,Was the woman happy about the road trip?,yes,The_woman,who,walked,by,the_dogs,clearly,was,happy,about,the,cross-country,road_trip.,
12,restr,singular,gram,e.restr.singular.gram,Was the woman happy about the road trip?,yes,The_woman,who,walked,by,the_dog,clearly,was,happy,about,the,cross-country,road_trip.,
12,restr,plural,ungram,e.restr.plural.ungram,Was the woman happy about the road trip?,yes,The_woman,who,walked,by,the_dogs,clearly,were,happy,about,the,cross-country,road_trip.,
12,restr,singular,ungram,e.restr.singular.ungram,Was the woman happy about the road trip?,yes,The_woman,who,walked,by,the_dog,clearly,were,happy,about,the,cross-country,road_trip.,
13,appos,plural,gram,e.appos.plural.gram,Was the nurse excited about the good news?,yes,"The_nurse,",who,called,for,"the_doctors,",unsurprisingly,was,excited,about,the,good,news.,
13,appos,singular,gram,e.appos.singular.gram,Was the nurse excited about the good news?,yes,"The_nurse,",who,called,for,"the_doctor,",unsurprisingly,was,excited,about,the,good,news.,
13,appos,plural,ungram,e.appos.plural.ungram,Was the nurse excited about the good news?,yes,"The_nurse,",who,called,for,"the_doctors,",unsurprisingly,were,excited,about,the,good,news.,
13,appos,singular,ungram,e.appos.singular.ungram,Was the nurse excited about the good news?,yes,"The_nurse,",who,called,for,"the_doctor,",unsurprisingly,were,excited,about,the,good,news.,
13,restr,plural,gram,e.restr.plural.gram,Was the nurse excited about the good news?,yes,The_nurse,who,called,for,the_doctors,unsurprisingly,was,excited,about,the,good,news.,
13,restr,singular,gram,e.restr.singular.gram,Was the nurse excited about the good news?,yes,The_nurse,who,called,for,the_doctor,unsurprisingly,was,excited,about,the,good,news.,
13,restr,plural,ungram,e.restr.plural.ungram,Was the nurse excited about the good news?,yes,The_nurse,who,called,for,the_doctors,unsurprisingly,were,excited,about,the,good,news.,
13,restr,singular,ungram,e.restr.singular.ungram,Was the nurse excited about the good news?,yes,The_nurse,who,called,for,the_doctor,unsurprisingly,were,excited,about,the,good,news.,
14,appos,plural,gram,e.appos.plural.gram,Did the director intrigue the assistants?,no,"The_director,",who,called,for,"the_assistants,",suddenly,was,intrigued,by,the,secret,report.,
14,appos,singular,gram,e.appos.singular.gram,Did the director intrigue the assistant?,no,"The_director,",who,called,for,"the_assistant,",suddenly,was,intrigued,by,the,secret,report.,
14,appos,plural,ungram,e.appos.plural.ungram,Did the director intrigue the assistants?,no,"The_director,",who,called,for,"the_assistants,",suddenly,were,intrigued,by,the,secret,report.,
14,appos,singular,ungram,e.appos.singular.ungram,Did the director intrigue the assistant?,no,"The_director,",who,called,for,"the_assistant,",suddenly,were,intrigued,by,the,secret,report.,
14,restr,plural,gram,e.restr.plural.gram,Did the director intrigue the assistants?,no,The_director,who,called,for,the_assistants,suddenly,was,intrigued,by,the,secret,report.,
14,restr,singular,gram,e.restr.singular.gram,Did the director intrigue the assistant?,no,The_director,who,called,for,the_assistant,suddenly,was,intrigued,by,the,secret,report.,
14,restr,plural,ungram,e.restr.plural.ungram,Did the director intrigue the assistants?,no,The_director,who,called,for,the_assistants,suddenly,were,intrigued,by,the,secret,report.,
14,restr,singular,ungram,e.restr.singular.ungram,Did the director intrigue the assistant?,no,The_director,who,called,for,the_assistant,suddenly,were,intrigued,by,the,secret,report.,
15,appos,plural,gram,e.appos.plural.gram,Was the artist impressed with the view?,yes,"The_artist,",who,painted,by,"the_houses,",certainly,was,impressed,with,the,stunning,view.,
15,appos,singular,gram,e.appos.singular.gram,Was the artist impressed with the view?,yes,"The_artist,",who,painted,by,"the_house,",certainly,was,impressed,with,the,stunning,view.,
15,appos,plural,ungram,e.appos.plural.ungram,Was the artist impressed with the view?,yes,"The_artist,",who,painted,by,"the_houses,",certainly,were,impressed,with,the,stunning,view.,
15,appos,singular,ungram,e.appos.singular.ungram,Was the artist impressed with the view?,yes,"The_artist,",who,painted,by,"the_house,",certainly,were,impressed,with,the,stunning,view.,
15,restr,plural,gram,e.restr.plural.gram,Was the artist impressed with the view?,yes,The_artist,who,painted,by,the_houses,certainly,was,impressed,with,the,stunning,view.,
15,restr,singular,gram,e.restr.singular.gram,Was the artist impressed with the view?,yes,The_artist,who,painted,by,the_house,certainly,was,impressed,with,the,stunning,view.,
15,restr,plural,ungram,e.restr.plural.ungram,Was the artist impressed with the view?,yes,The_artist,who,painted,by,the_houses,certainly,were,impressed,with,the,stunning,view.,
15,restr,singular,ungram,e.restr.singular.ungram,Was the artist impressed with the view?,yes,The_artist,who,painted,by,the_house,certainly,were,impressed,with,the,stunning,view.,
16,appos,plural,gram,e.appos.plural.gram,Did the actors surprise the director?,no,"The_director,",who,called,for,"the_actors,",certainly,was,surprised,about,the,exciting,news.,
16,appos,singular,gram,e.appos.singular.gram,Did the actor surprise the director?,no,"The_director,",who,called,for,"the_actor,",certainly,was,surprised,about,the,exciting,news.,
16,appos,plural,ungram,e.appos.plural.ungram,Did the actors surprise the director?,no,"The_director,",who,called,for,"the_actors,",certainly,were,surprised,about,the,exciting,news.,
16,appos,singular,ungram,e.appos.singular.ungram,Did the actor surprise the director?,no,"The_director,",who,called,for,"the_actor,",certainly,were,surprised,about,the,exciting,news.,
16,restr,plural,gram,e.restr.plural.gram,Did the actors surprise the director?,no,The_director,who,called,for,the_actors,certainly,was,surprised,about,the,exciting,news.,
16,restr,singular,gram,e.restr.singular.gram,Did the actor surprise the director?,no,The_director,who,called,for,the_actor,certainly,was,surprised,about,the,exciting,news.,
16,restr,plural,ungram,e.restr.plural.ungram,Did the actors surprise the director?,no,The_director,who,called,for,the_actors,certainly,were,surprised,about,the,exciting,news.,
16,restr,singular,ungram,e.restr.singular.ungram,Did the actor surprise the director?,no,The_director,who,called,for,the_actor,certainly,were,surprised,about,the,exciting,news.,
17,appos,plural,gram,e.appos.plural.gram,Was the thief scared of getting caught red-handed?,yes,"The_thief,",who,stole,from,"the_stashes,",obviously,was,scared,of,being,caught,red-handed.,
17,appos,singular,gram,e.appos.singular.gram,Was the thief scared of getting caught red-handed?,yes,"The_thief,",who,stole,from,"the_stash,",obviously,was,scared,of,being,caught,red-handed.,
17,appos,plural,ungram,e.appos.plural.ungram,Was the thief scared of getting caught red-handed?,yes,"The_thief,",who,stole,from,"the_stashes,",obviously,were,scared,of,being,caught,red-handed.,
17,appos,singular,ungram,e.appos.singular.ungram,Was the thief scared of getting caught red-handed?,yes,"The_thief,",who,stole,from,"the_stash,",obviously,were,scared,of,being,caught,red-handed.,
17,restr,plural,gram,e.restr.plural.gram,Was the thief scared of getting caught red-handed?,yes,The_thief,who,stole,from,the_stashes,obviously,was,scared,of,being,caught,red-handed.,
17,restr,singular,gram,e.restr.singular.gram,Was the thief scared of getting caught red-handed?,yes,The_thief,who,stole,from,the_stash,obviously,was,scared,of,being,caught,red-handed.,
17,restr,plural,ungram,e.restr.plural.ungram,Was the thief scared of getting caught red-handed?,yes,The_thief,who,stole,from,the_stashes,obviously,were,scared,of,being,caught,red-handed.,
17,restr,singular,ungram,e.restr.singular.ungram,Was the thief scared of getting caught red-handed?,yes,The_thief,who,stole,from,the_stash,obviously,were,scared,of,being,caught,red-handed.,
18,appos,plural,gram,e.appos.plural.gram,Was the author pleased with the ending?,no,"The_author,",who,read,about,"the_books,",apparently,was,disappointed,with,the,surprise,ending.,
18,appos,singular,gram,e.appos.singular.gram,Was the author pleased with the ending?,no,"The_author,",who,read,about,"the_book,",apparently,was,disappointed,with,the,surprise,ending.,
18,appos,plural,ungram,e.appos.plural.ungram,Was the author pleased with the ending?,no,"The_author,",who,read,about,"the_books,",apparently,were,disappointed,with,the,surprise,ending.,
18,appos,singular,ungram,e.appos.singular.ungram,Was the author pleased with the ending?,no,"The_author,",who,read,about,"the_book,",apparently,were,disappointed,with,the,surprise,ending.,
18,restr,plural,gram,e.restr.plural.gram,Was the author pleased with the ending?,no,The_author,who,read,about,the_books,apparently,was,disappointed,with,the,surprise,ending.,
18,restr,singular,gram,e.restr.singular.gram,Was the author pleased with the ending?,no,The_author,who,read,about,the_book,apparently,was,disappointed,with,the,surprise,ending.,
18,restr,plural,ungram,e.restr.plural.ungram,Was the author pleased with the ending?,no,The_author,who,read,about,the_books,apparently,were,disappointed,with,the,surprise,ending.,
18,restr,singular,ungram,e.restr.singular.ungram,Was the author pleased with the ending?,no,The_author,who,read,about,the_book,apparently,were,disappointed,with,the,surprise,ending.,
19,appos,plural,gram,e.appos.plural.gram,Did the terrorists surround the soldier?,no,"The_solider,",who,fought,against,"the_terrorists,",likely,was,surrounded,by,a,team,of,insurgents.
19,appos,singular,gram,e.appos.singular.gram,Did the terrorist surround the soldier?,no,"The_solider,",who,fought,against,"the_terrorist,",likely,was,surrounded,by,a,team,of,insurgents.
19,appos,plural,ungram,e.appos.plural.ungram,Did the terrorists surround the soldier?,no,"The_solider,",who,fought,against,"the_terrorists,",likely,were,surrounded,by,a,team,of,insurgents.
19,appos,singular,ungram,e.appos.singular.ungram,Did the terrorist surround the soldier?,no,"The_solider,",who,fought,against,"the_terrorist,",likely,were,surrounded,by,a,team,of,insurgents.
19,restr,plural,gram,e.restr.plural.gram,Did the terrorists surround the soldier?,no,The_solider,who,fought,against,the_terrorists,likely,was,surrounded,by,a,team,of,insurgents.
19,restr,singular,gram,e.restr.singular.gram,Did the terrorist surround the soldier?,no,The_solider,who,fought,against,the_terrorist,likely,was,surrounded,by,a,team,of,insurgents.
19,restr,plural,ungram,e.restr.plural.ungram,Did the terrorists surround the soldier?,no,The_solider,who,fought,against,the_terrorists,likely,were,surrounded,by,a,team,of,insurgents.
19,restr,singular,ungram,e.restr.singular.ungram,Did the terrorist surround the soldier?,no,The_solider,who,fought,against,the_terrorist,likely,were,surrounded,by,a,team,of,insurgents.
20,appos,plural,gram,e.appos.plural.gram,Was it the officer who was pulled over?,no,"The_millionaire,",who,drove,past,"the_cars,",allegedly,was,pulled,over,for,drunk,driving.,
20,appos,singular,gram,e.appos.singular.gram,Was it the officer who was pulled over?,no,"The_millionaire,",who,drove,past,"the_cars,",allegedly,was,pulled,over,for,drunk,driving.,
20,appos,plural,ungram,e.appos.plural.ungram,Was it the officer who was pulled over?,no,"The_millionaire,",who,drove,past,"the_cars,",allegedly,were,pulled,over,for,drunk,driving.,
20,appos,singular,ungram,e.appos.singular.ungram,Was it the officer who was pulled over?,no,"The_millionaire,",who,drove,past,"the_cars,",allegedly,were,pulled,over,for,drunk,driving.,
20,restr,plural,gram,e.restr.plural.gram,Was it the officer who was pulled over?,no,The_millionaire,who,drove,past,the_cars,allegedly,was,pulled,over,for,drunk,driving.,
20,restr,singular,gram,e.restr.singular.gram,Was it the officer who was pulled over?,no,The_millionaire,who,drove,past,the_car,allegedly,was,pulled,over,for,drunk,driving.,
20,restr,plural,ungram,e.restr.plural.ungram,Was it the officer who was pulled over?,no,The_millionaire,who,drove,past,the_cars,allegedly,were,pulled,over,for,drunk,driving.,
20,restr,singular,ungram,e.restr.singular.ungram,Was it the officer who was pulled over?,no,The_millionaire,who,drove,past,the_car,allegedly,were,pulled,over,for,drunk,driving.,
21,appos,plural,gram,e.appos.plural.gram,Was the librarian surprised by the conclusion?,yes,"The_librarian,",who,read,about,"the_books,",certainly,was,surprised,by,the,abrupt,conclusion.,
21,appos,singular,gram,e.appos.singular.gram,Was the librarian surprised by the conclusion?,yes,"The_librarian,",who,read,about,"the_book,",certainly,was,surprised,by,the,abrupt,conclusion.,
21,appos,plural,ungram,e.appos.plural.ungram,Was the librarian surprised by the conclusion?,yes,"The_librarian,",who,read,about,"the_books,",certainly,were,surprised,by,the,abrupt,conclusion.,
21,appos,singular,ungram,e.appos.singular.ungram,Was the librarian surprised by the conclusion?,yes,"The_librarian,",who,read,about,"the_book,",certainly,were,surprised,by,the,abrupt,conclusion.,
21,restr,plural,gram,e.restr.plural.gram,Was the librarian surprised by the conclusion?,yes,The_librarian,who,read,about,the_books,certainly,was,surprised,by,the,abrupt,conclusion.,
21,restr,singular,gram,e.restr.singular.gram,Was the librarian surprised by the conclusion?,yes,The_librarian,who,read,about,the_book,certainly,was,surprised,by,the,abrupt,conclusion.,
